x	y	z	HIV elongation arrest and recovery
233	262	27	1
238	262	27	1
175	263	27	1
181	263	27	2
182	263	27	1
211	263	27	1
215	263	27	1
227	263	27	1
229	263	27	1
235	263	27	1
244	263	27	1
175	264	27	1
176	264	27	4
180	264	27	1
209	264	27	1
222	264	27	2
229	264	27	2
231	264	27	1
237	264	27	1
239	264	27	1
248	264	27	2
215	265	27	1
230	265	27	1
231	265	27	2
178	266	27	1
179	266	27	1
216	266	27	1
217	266	27	1
219	266	27	2
221	266	27	2
226	266	27	1
230	266	27	1
231	266	27	1
232	266	27	3
235	266	27	1
239	266	27	1
179	267	27	1
182	267	27	1
214	267	27	3
215	267	27	1
217	267	27	2
230	267	27	1
231	267	27	1
232	267	27	2
234	267	27	1
249	267	27	2
250	267	27	1
217	268	27	1
219	268	27	1
223	268	27	1
224	268	27	1
225	268	27	1
228	268	27	1
229	268	27	3
231	268	27	2
232	268	27	1
233	268	27	1
236	268	27	2
239	268	27	1
247	268	27	1
177	269	27	1
201	269	27	2
207	269	27	1
213	269	27	1
214	269	27	1
218	269	27	1
224	269	27	1
225	269	27	1
229	269	27	1
231	269	27	1
234	269	27	1
238	269	27	1
241	269	27	2
242	269	27	1
243	269	27	1
181	270	27	1
184	270	27	1
216	270	27	1
226	270	27	1
237	270	27	1
238	270	27	1
239	270	27	1
243	270	27	1
248	270	27	1
250	270	27	2
177	271	27	1
207	271	27	1
211	271	27	1
215	271	27	2
223	271	27	2
225	271	27	1
228	271	27	1
236	271	27	1
237	271	27	1
240	271	27	1
251	271	27	1
204	272	27	1
216	272	27	1
217	272	27	1
225	272	27	1
232	272	27	1
234	272	27	1
238	272	27	1
247	272	27	1
250	272	27	1
203	273	27	1
213	273	27	1
220	273	27	1
223	273	27	1
224	273	27	1
232	273	27	2
234	273	27	1
235	273	27	1
238	273	27	1
240	273	27	1
248	273	27	2
253	273	27	1
177	274	27	1
178	274	27	1
179	274	27	1
182	274	27	1
208	274	27	1
212	274	27	1
216	274	27	2
228	274	27	1
229	274	27	1
230	274	27	1
231	274	27	1
232	274	27	1
233	274	27	2
236	274	27	2
240	274	27	1
254	274	27	1
205	275	27	2
211	275	27	1
214	275	27	2
218	275	27	1
220	275	27	1
222	275	27	1
223	275	27	1
224	275	27	1
228	275	27	1
232	275	27	1
237	275	27	1
238	275	27	1
244	275	27	2
245	275	27	1
204	276	27	1
208	276	27	2
209	276	27	2
211	276	27	1
214	276	27	1
217	276	27	2
220	276	27	1
222	276	27	1
232	276	27	1
234	276	27	1
238	276	27	1
239	276	27	3
244	276	27	2
246	276	27	2
250	276	27	1
212	277	27	1
218	277	27	1
227	277	27	1
238	277	27	2
240	277	27	2
250	277	27	1
204	278	27	1
209	278	27	3
210	278	27	3
213	278	27	1
219	278	27	1
221	278	27	1
224	278	27	1
225	278	27	1
231	278	27	1
233	278	27	1
234	278	27	2
235	278	27	1
251	278	27	2
210	279	27	2
219	279	27	1
231	279	27	1
238	279	27	1
246	279	27	1
249	279	27	1
251	279	27	1
252	279	27	1
207	280	27	1
208	280	27	2
209	280	27	1
210	280	27	1
235	280	27	1
238	280	27	1
241	280	27	1
244	280	27	2
246	280	27	1
248	280	27	1
251	280	27	1
252	280	27	1
256	280	27	2
206	281	27	1
210	281	27	1
217	281	27	1
222	281	27	2
229	281	27	2
230	281	27	2
237	281	27	1
238	281	27	1
241	281	27	2
245	281	27	1
251	281	27	2
252	281	27	1
257	281	27	1
205	282	27	1
210	282	27	2
215	282	27	2
216	282	27	1
236	282	27	1
237	282	27	1
239	282	27	1
241	282	27	1
242	282	27	1
243	282	27	1
244	282	27	1
250	282	27	1
252	282	27	2
201	283	27	1
206	283	27	1
209	283	27	1
210	283	27	1
218	283	27	1
221	283	27	1
227	283	27	1
235	283	27	2
236	283	27	1
238	283	27	3
241	283	27	1
245	283	27	1
249	283	27	1
253	283	27	1
254	283	27	1
205	284	27	1
207	284	27	1
209	284	27	1
210	284	27	1
212	284	27	1
214	284	27	1
235	284	27	1
236	284	27	1
241	284	27	1
249	284	27	1
250	284	27	2
252	284	27	1
254	284	27	2
255	284	27	1
256	284	27	2
199	285	27	1
200	285	27	1
204	285	27	1
208	285	27	2
210	285	27	2
219	285	27	2
223	285	27	1
228	285	27	1
234	285	27	1
236	285	27	1
240	285	27	1
241	285	27	1
246	285	27	1
255	285	27	1
207	286	27	1
214	286	27	1
218	286	27	1
219	286	27	2
225	286	27	1
232	286	27	1
233	286	27	1
237	286	27	1
241	286	27	1
244	286	27	1
248	286	27	1
249	286	27	1
254	286	27	1
255	286	27	1
210	287	27	1
219	287	27	2
223	287	27	1
227	287	27	1
231	287	27	1
232	287	27	1
234	287	27	1
236	287	27	1
237	287	27	1
239	287	27	1
241	287	27	1
242	287	27	1
243	287	27	1
247	287	27	2
250	287	27	2
251	287	27	1
253	287	27	1
255	287	27	2
207	288	27	2
211	288	27	1
222	288	27	2
233	288	27	1
234	288	27	1
238	288	27	1
241	288	27	1
244	288	27	1
246	288	27	1
247	288	27	1
252	288	27	1
203	289	27	1
210	289	27	1
223	289	27	1
228	289	27	1
231	289	27	1
236	289	27	1
237	289	27	2
241	289	27	1
243	289	27	1
254	289	27	1
219	290	27	1
221	290	27	1
224	290	27	1
226	290	27	1
228	290	27	2
230	290	27	2
232	290	27	1
234	290	27	1
235	290	27	1
236	290	27	2
244	290	27	1
246	290	27	1
249	290	27	1
250	290	27	1
251	290	27	1
253	290	27	1
213	291	27	1
222	291	27	2
227	291	27	2
229	291	27	1
230	291	27	2
233	291	27	1
234	291	27	3
236	291	27	1
237	291	27	2
240	291	27	1
246	291	27	1
247	291	27	2
248	291	27	1
249	291	27	2
250	291	27	1
211	292	27	1
219	292	27	1
220	292	27	2
223	292	27	3
225	292	27	2
228	292	27	2
238	292	27	2
239	292	27	1
241	292	27	1
244	292	27	1
246	292	27	1
247	292	27	1
251	292	27	2
254	292	27	1
211	293	27	1
217	293	27	1
218	293	27	2
221	293	27	1
225	293	27	2
227	293	27	1
229	293	27	3
234	293	27	1
237	293	27	1
243	293	27	1
249	293	27	1
250	293	27	2
253	293	27	1
211	294	27	3
220	294	27	3
226	294	27	1
235	294	27	1
236	294	27	1
253	294	27	1
254	294	27	1
255	294	27	2
211	295	27	1
218	295	27	1
223	295	27	1
239	295	27	1
241	295	27	1
255	295	27	1
211	296	27	1
220	296	27	1
237	296	27	1
238	296	27	1
244	296	27	1
245	296	27	1
249	296	27	1
252	296	27	2
217	297	27	1
221	297	27	1
237	297	27	1
238	297	27	1
240	297	27	2
243	297	27	1
246	297	27	1
249	297	27	3
252	297	27	1
253	297	27	1
224	298	27	1
235	298	27	1
236	298	27	2
243	298	27	1
244	298	27	1
229	299	27	1
230	299	27	2
239	299	27	1
241	299	27	1
248	299	27	1
249	299	27	1
227	300	27	1
228	300	27	2
237	300	27	1
244	300	27	1
247	300	27	2
234	301	27	1
235	301	27	4
251	301	27	2
236	302	27	2
239	302	27	1
244	302	27	1
241	303	27	1
235	304	27	1
236	304	27	1
237	304	27	1
232	266	28	1
236	267	28	1
231	268	28	3
235	268	28	1
236	268	28	1
238	268	28	1
238	269	28	2
237	270	28	1
250	270	28	1
236	271	28	1
232	272	28	1
233	272	28	1
236	272	28	1
235	273	28	1
249	275	28	2
234	276	28	1
238	276	28	1
235	277	28	1
237	277	28	2
236	278	28	1
235	280	28	2
251	280	28	1
208	281	28	1
248	281	28	1
252	281	28	1
247	282	28	1
249	282	28	1
237	283	28	1
246	283	28	1
247	283	28	1
249	283	28	1
254	283	28	1
248	284	28	1
245	285	28	1
248	285	28	2
247	286	28	1
249	286	28	1
245	287	28	1
251	287	28	1
238	288	28	1
244	288	28	1
227	289	28	1
231	289	28	1
243	289	28	1
245	289	28	1
247	289	28	1
248	289	28	1
253	289	28	1
240	290	28	1
242	290	28	1
226	291	28	1
237	291	28	1
240	291	28	1
249	291	28	1
250	291	28	1
245	294	28	2
250	294	28	1
251	294	28	1
241	295	28	1
248	295	28	1
240	296	28	1
239	297	28	2
245	297	28	2
240	298	28	2
240	299	28	1
230	257	29	1
228	258	29	1
233	258	29	2
234	258	29	1
229	259	29	1
234	260	29	1
240	260	29	1
183	261	29	1
199	261	29	2
229	261	29	1
231	261	29	1
221	262	29	1
227	262	29	1
229	262	29	1
222	263	29	1
232	263	29	1
234	263	29	2
245	263	29	1
178	264	29	1
215	264	29	1
229	264	29	2
232	264	29	3
245	264	29	1
248	264	29	2
181	265	29	1
215	265	29	1
232	265	29	1
233	265	29	2
178	266	29	1
226	266	29	4
230	266	29	1
232	266	29	1
194	267	29	1
230	267	29	3
232	267	29	1
234	267	29	1
235	267	29	1
231	268	29	2
236	268	29	1
238	268	29	1
250	268	29	1
180	269	29	1
196	269	29	1
175	270	29	2
196	270	29	2
215	270	29	1
227	270	29	1
234	270	29	1
235	270	29	2
250	270	29	3
204	271	29	1
215	271	29	1
237	271	29	2
240	271	29	1
241	271	29	1
251	271	29	1
211	272	29	1
213	272	29	2
214	272	29	1
234	272	29	1
241	272	29	2
182	273	29	1
212	273	29	2
225	273	29	1
236	273	29	1
249	273	29	1
213	274	29	1
214	274	29	1
232	274	29	2
234	274	29	1
235	274	29	1
236	274	29	3
238	274	29	1
240	274	29	1
250	274	29	1
184	275	29	1
206	275	29	1
231	275	29	1
232	275	29	1
236	275	29	1
237	275	29	1
238	275	29	1
239	275	29	1
241	275	29	2
233	276	29	1
237	276	29	1
240	276	29	1
246	276	29	1
250	276	29	1
252	276	29	1
205	277	29	1
236	277	29	1
237	277	29	2
239	277	29	1
240	277	29	2
204	278	29	2
239	278	29	1
245	278	29	1
247	278	29	2
250	278	29	2
206	279	29	1
234	279	29	1
235	279	29	1
245	279	29	1
247	279	29	1
248	279	29	1
254	279	29	1
234	280	29	1
237	280	29	1
245	280	29	1
246	280	29	1
254	280	29	1
208	281	29	1
224	281	29	1
232	281	29	1
233	281	29	1
234	281	29	1
235	281	29	1
243	281	29	1
250	281	29	1
213	282	29	1
244	282	29	1
248	282	29	1
249	282	29	1
254	282	29	1
231	283	29	1
232	283	29	1
234	283	29	2
236	283	29	1
237	283	29	1
248	283	29	1
249	283	29	1
250	283	29	1
251	283	29	1
211	284	29	1
232	284	29	2
233	284	29	1
235	284	29	3
236	284	29	1
237	284	29	1
241	284	29	1
245	284	29	2
250	284	29	2
219	285	29	1
227	285	29	1
233	285	29	1
234	285	29	1
236	285	29	1
238	285	29	1
239	285	29	1
244	285	29	2
248	285	29	1
211	286	29	2
232	286	29	1
240	286	29	1
242	286	29	2
243	286	29	1
249	286	29	1
228	287	29	2
231	287	29	2
232	287	29	1
233	287	29	1
240	287	29	2
228	288	29	1
232	288	29	1
233	288	29	1
236	288	29	3
245	288	29	1
249	288	29	1
253	288	29	2
234	289	29	1
236	289	29	2
237	289	29	1
240	289	29	2
246	289	29	1
247	289	29	1
250	289	29	1
222	290	29	1
225	290	29	1
228	290	29	1
230	290	29	2
246	290	29	1
224	291	29	1
225	291	29	1
241	291	29	1
249	291	29	2
250	291	29	1
222	292	29	1
227	292	29	1
239	292	29	2
248	292	29	1
250	292	29	1
237	293	29	2
239	293	29	2
242	293	29	1
247	293	29	1
249	293	29	1
252	293	29	1
236	294	29	1
244	294	29	1
246	294	29	1
251	294	29	1
240	295	29	2
219	296	29	1
255	296	29	1
242	297	29	1
248	297	29	1
215	298	29	1
221	298	29	1
224	298	29	1
226	298	29	1
237	298	29	1
239	298	29	2
245	298	29	1
247	298	29	2
248	298	29	1
249	298	29	2
222	299	29	2
227	299	29	2
237	299	29	2
239	299	29	2
241	299	29	1
221	300	29	2
225	300	29	1
237	300	29	1
239	300	29	1
240	300	29	1
221	301	29	2
223	301	29	1
241	301	29	1
235	302	29	1
236	305	29	2
229	250	30	1
230	254	30	1
235	254	30	2
238	254	30	2
215	255	30	2
232	255	30	2
237	255	30	1
229	256	30	2
232	256	30	1
233	256	30	1
190	257	30	1
192	257	30	2
203	257	30	2
230	257	30	1
236	257	30	1
237	257	30	2
239	257	30	2
176	258	30	1
215	258	30	1
226	258	30	1
227	258	30	1
228	258	30	1
231	258	30	1
236	258	30	1
175	259	30	1
189	259	30	2
195	259	30	1
206	259	30	1
216	259	30	2
218	259	30	1
227	259	30	1
228	259	30	1
230	259	30	2
231	259	30	1
234	259	30	1
238	259	30	1
241	259	30	1
184	260	30	2
196	260	30	1
216	260	30	1
219	260	30	1
226	260	30	1
237	260	30	1
239	260	30	1
245	260	30	2
184	261	30	1
187	261	30	1
188	261	30	2
198	261	30	1
212	261	30	1
219	261	30	1
232	261	30	1
236	261	30	1
241	261	30	2
244	261	30	1
178	262	30	1
187	262	30	1
193	262	30	1
206	262	30	1
220	262	30	2
222	262	30	1
227	262	30	1
240	262	30	2
242	262	30	1
248	262	30	1
251	262	30	1
188	263	30	2
189	263	30	1
211	263	30	1
216	263	30	1
219	263	30	2
222	263	30	1
224	263	30	1
226	263	30	2
227	263	30	1
228	263	30	1
233	263	30	1
240	263	30	2
242	263	30	1
249	263	30	2
178	264	30	1
188	264	30	1
211	264	30	2
227	264	30	1
231	264	30	2
233	264	30	1
236	264	30	1
238	264	30	1
245	264	30	1
249	264	30	2
191	265	30	3
192	265	30	1
200	265	30	2
210	265	30	1
211	265	30	2
212	265	30	1
213	265	30	1
219	265	30	1
228	265	30	1
236	265	30	1
239	265	30	1
193	266	30	1
194	266	30	1
212	266	30	1
219	266	30	2
228	266	30	1
232	266	30	1
233	266	30	1
238	266	30	1
249	266	30	1
182	267	30	1
189	267	30	1
192	267	30	2
202	267	30	1
219	267	30	2
231	267	30	2
232	267	30	2
236	267	30	1
237	267	30	1
238	267	30	2
247	267	30	2
249	267	30	2
172	268	30	1
195	268	30	1
196	268	30	1
205	268	30	1
207	268	30	1
214	268	30	1
217	268	30	1
223	268	30	2
228	268	30	1
238	268	30	1
245	268	30	2
246	268	30	1
247	268	30	2
172	269	30	1
178	269	30	1
182	269	30	1
193	269	30	1
204	269	30	1
236	269	30	1
238	269	30	1
239	269	30	1
240	269	30	3
242	269	30	1
244	269	30	1
245	269	30	1
247	269	30	1
178	270	30	2
181	270	30	1
186	270	30	1
196	270	30	2
200	270	30	1
201	270	30	2
205	270	30	1
227	270	30	1
231	270	30	1
233	270	30	1
234	270	30	2
185	271	30	1
188	271	30	1
199	271	30	1
201	271	30	1
206	271	30	2
211	271	30	1
215	271	30	1
225	271	30	1
229	271	30	1
232	271	30	1
238	271	30	1
243	271	30	1
247	271	30	1
179	272	30	1
197	272	30	1
206	272	30	1
216	272	30	2
223	272	30	2
224	272	30	1
227	272	30	2
235	272	30	1
236	272	30	1
239	272	30	1
245	272	30	1
181	273	30	2
204	273	30	1
181	274	30	2
182	274	30	1
183	274	30	1
211	274	30	1
214	274	30	1
233	274	30	1
236	274	30	1
238	274	30	1
241	274	30	1
247	274	30	1
251	274	30	2
183	275	30	1
203	275	30	2
215	275	30	1
235	275	30	1
236	275	30	1
239	275	30	1
244	275	30	2
249	275	30	1
251	275	30	2
206	276	30	1
233	276	30	1
238	276	30	1
240	276	30	2
249	276	30	1
180	277	30	1
238	277	30	1
241	277	30	1
250	277	30	1
251	277	30	1
190	278	30	1
201	278	30	1
226	278	30	1
230	278	30	1
237	278	30	1
239	278	30	2
253	278	30	1
219	279	30	1
237	279	30	1
238	279	30	1
239	279	30	1
240	279	30	2
244	279	30	1
245	279	30	1
247	279	30	1
249	279	30	1
254	279	30	1
175	280	30	1
176	280	30	2
178	280	30	1
183	280	30	2
206	280	30	1
232	280	30	1
235	280	30	1
237	280	30	1
241	280	30	1
242	280	30	1
247	280	30	1
249	280	30	2
251	280	30	1
254	280	30	1
179	281	30	1
218	281	30	1
223	281	30	1
224	281	30	2
235	281	30	1
240	281	30	2
241	281	30	1
242	281	30	2
243	281	30	1
247	281	30	1
252	281	30	1
254	281	30	1
187	282	30	1
210	282	30	1
221	282	30	1
222	282	30	2
223	282	30	1
229	282	30	2
232	282	30	1
234	282	30	1
235	282	30	2
238	282	30	1
244	282	30	1
245	282	30	1
247	282	30	1
251	282	30	1
252	282	30	1
253	282	30	2
256	282	30	3
215	283	30	2
223	283	30	1
236	283	30	1
238	283	30	1
239	283	30	1
241	283	30	2
248	283	30	1
249	283	30	1
250	283	30	1
252	283	30	2
173	284	30	1
180	284	30	2
181	284	30	1
220	284	30	1
221	284	30	1
224	284	30	1
225	284	30	1
230	284	30	1
238	284	30	1
243	284	30	1
244	284	30	1
245	284	30	1
250	284	30	1
254	284	30	2
256	284	30	2
206	285	30	2
232	285	30	1
237	285	30	1
242	285	30	1
245	285.666666666667	31	3
255	285	30	1
256	285	30	1
180	286	30	1
205	286	30	2
206	286	30	1
222	286	30	1
226	286	30	1
231	286	30	1
235	286	30	2
240	286	30	1
241	286	30	3
244	286	30	1
246	286	30	1
250	286	30	1
255	286	30	1
257	286	30	1
207	287	30	1
222	287	30	1
226	287	30	1
233	287	30	1
237	287.5	30.5	1
238.5	287.5	30.5	1
248	287	30	1
251	287	30	1
225	288	30	2
228	288	30	1
229	288	30	1
237	288	30	2
241	288	30	1
243	288	30	1
244	288	30	1
246	288	30	1
200	289	30	1
222	289	30	1
223	289	30	1
226	289	30	3
228	289	30	1
230	289	30	1
234	289	30	1
239	289	30	2
240	289	30	1
245	289	30	1
246	289	30	1
256	289	30	1
220	290	30	1
224	290	30	1
227	290	30	1
231	290	30	1
232	290	30	1
233	290	30	2
235	290	30	1
246	290	30	1
250	290	30	1
222	291	30	1
225	291	30	1
226	291	30	1
229	291	30	1
232	291	30	1
238	291	30	2
239	291	30	1
246	291	30	2
255	291	30	1
258	291	30	1
194	292	30	1
199	292	30	1
203	292	30	1
213	292	30	1
223	292	30	1
232	292	30	2
236	292	30	1
241	292	30	1
248	292	30	2
249	292	30	1
257	292	30	2
223	293	30	1
229	293	30	1
233	293	30	1
234	293	30	1
239	293	30	1
243	293	30	2
244	293	30	1
247	293	30	1
221	294	30	2
227	294	30	1
229	294	30	1
231	294	30	1
235	294	30	1
237	294	30	1
240	294	30	1
243	294	30	1
245	294	30	2
246	294	30	1
253	294	30	1
222	295	30	2
224	295	30	1
225	295	30	2
226	295	30	2
227	295	30	1
228	295	30	1
229	295	30	2
241	295	30	1
244	295	30	1
247	295	30	1
251	295	30	1
253	295	30	1
254	295	30	1
232	296	30	1
233	296	30	1
234	296	30	2
241	296	30	1
242	296	30	1
243	296	30	2
244	296	30	1
246	296	30	1
221	297	30	2
232	297	30	1
240	297	30	1
244	297	30	1
245	297	30	1
252	297	30	1
220	298	30	2
221	298	30	1
227	298	30	2
229	298	30	1
235	298	30	1
239	298	30	1
245	298	30	1
247	298	30	1
250	298	30	1
215	299	30	3
224	299	30	1
229	299	30	1
241	299	30	1
242	299	30	1
246	299	30	1
250	299	30	1
214	300	30	1
218	300	30	1
223	300	30	2
225	300	30	1
226	300	30	1
233	300	30	2
240	300	30	2
241	300	30	2
242	300	30	1
244	300	30	1
246	300	30	1
248	300	30	1
249	300	30	1
226	301	30	1
236	301	30	1
238	301	30	2
239	301	30	1
241	301	30	1
244	301	30	1
248	301	30	2
249	301	30	1
221	302	30	2
223	302	30	1
226	302	30	1
231	302	30	1
236	302	30	1
237	302	30	1
238	302	30	1
239	302	30	1
223	303	30	1
239	303	30	1
241	303	30	1
244	303	30	1
235	304	30	1
237	304	30	2
242	304	30	1
223	305	30	1
237	305	30	1
240	305	30	2
238	306	30	1
240	306	30	1
226	249	31	1
227	250	31	1
235	250	31	1
215	251	31	1
215	253	31	1
227	253	31	3
238	253	31	1
193	254	31	1
226	254	31	1
215	255	31	2
234	255	31	2
235	255	31	2
237	255	31	1
207	256	31	1
216	256	31	1
236	256	31	1
239	256	31	1
202	257	31	1
215	257	31	1
232	257	31	1
236	257	31	2
239	257	31	1
240	257	31	1
234	258	31	1
237	258	31	1
206	259	31	1
209	259	31	1
218	259	31	1
219	259	31	1
226	259	31	2
230	259	31	2
231	259	31	1
237	259	31	2
239	259	31	1
242	259	31	1
186	260	31	2
187	260	31	1
218	260	31	1
224	260	31	2
227	260	31	2
228	260	31	1
234	260	31	1
235	260	31	1
240	260	31	1
242	260	31	1
246	260	31	1
181	261	31	1
187	261	31	2
208	261	31	2
213	261	31	2
216	261	31	2
227	261	31	1
228	261	31	1
234	261	31	2
235	261	31	1
243	261	31	2
244	261	31	1
249	261	31	1
216	262	31	1
217	262	31	2
218	262	31	1
220	262	31	2
222	262	31	1
225	262	31	1
229	262	31	1
230	262	31	2
246	262	31	1
186	263	31	1
188	263	31	1
194	263	31	1
197	263	31	1
198	263	31	1
217	263	31	1
218	263	31	1
221	263	31	2
226	263	31	1
229	263	31	1
230	263	31	2
232	263	31	1
234	263	31	1
238	263	31	1
240	263	31	1
244	263	31	1
185	264	31	1
194	264	31	1
195	264	31	1
197	264	31	1
199	264	31	2
204	264	31	2
214	264	31	1
216	264	31	1
217	264	31	1
218	264	31	1
220	264	31	1
222	264	31	1
228	264	31	1
231	264	31	1
232	264	31	2
237	264	31	1
238	264	31	1
244	264	31	1
248	264	31	1
184	265	31	2
186	265	31	2
192	265	31	1
213	265	31	1
223	265	31	1
226	265	31	2
232	265	31	2
235	265	31	1
239	265	31	2
240	265	31	1
243	265	31	1
245	265	31	1
248	265	31	2
193	266	31	1
194	266	31	2
197	266	31	1
213	266	31	1
221	266	31	1
231	266	31	2
232	266	31	1
241	266	31	1
247	266	31	1
248	266	31	2
176	267	31	1
177	267	31	1
182	267	31	1
192	267	31	1
193	267	31	1
196	267	31	1
197	267	31	1
216	267	31	1
217	267	31	2
227	267	31	1
230	267	31	1
231	267	31	1
242	267	31	1
247	267	31	1
183	268	31	1
195	268	31	1
203	268	31	1
215	268	31	1
216	268	31	1
225	268	31	1
232	268	31	1
240	268	31	1
242	268	31	1
243	268	31	1
244	268	31	1
245	268	31	1
182	269	31	1
191	269	31	1
199	269	31	1
213	269	31	1
214	269	31	1
232	269	31	1
242	269	31	1
243	269	31	1
246	269	31	2
252	269	31	2
178	270	31	1
181	270	31	1
183	270	31	1
186	270	31	1
194	270	31	1
196	270	31	1
199	270	31	1
207	270	31	1
215	270	31	1
217	270	31	2
237	270	31	1
239	270	31	1
240	270	31	2
249	270	31	1
250	270	31	1
174	271	31	1
175	271	31	2
178	271	31	1
182	271	31	2
184	271	31	1
198	271	31	1
214	271	31	2
217	271	31	2
235	271	31	1
237	271	31	2
239	271	31	1
246	271	31	1
247	271	31	1
176	272	31	3
183	272	31	4
199	272	31	1
205	272	31	1
208	272	31	2
211	272	31	1
214	272	31	2
225	272	31	1
227	272	31	1
230	272	31	1
234	272	31	1
237	272	31	1
240	272	31	1
243	272	31	2
248	272	31	1
249	272	31	1
250	272	31	1
251	272	31	1
181	273	31	1
184	273	31	1
210	273	31	1
211	273	31	2
213	273	31	2
214	273	31	1
232	273	31	1
236	273	31	1
240	273	31	1
242	273	31	2
244	273	31	2
246	273	31	1
249	273	31	2
250	273	31	1
179	274	31	1
180	274	31	1
185	274	31	1
203	274	31	1
211	274	31	1
216	274	31	2
226	274	31	1
230	274	31	1
232	274	31	1
236	274	31	1
239	274	31	1
