x	y	z	Toll Like Receptor 3 (TLR3) Cascade
182	259	26	1
232	263	26	1
232	265	26	1
234	265	26	1
230	267	26	2
234	267	26	2
235	267	26	2
241	267	26	1
235	268	26	1
236	268	26	2
228	269	26	1
227	270	26	3
233	270	26	1
235	270	26	1
237	270	26	1
240	270	26	1
250	270	26	1
235	271	26	2
240	271	26	2
215	272	26	3
223	272	26	2
224	272	26	1
230	272	26	2
232	272	26	1
239	272	26	3
231	273	26	2
236	273	26	1
237	273	26	1
239	273	26	2
249	273	26	1
231	274	26	2
233	274	26	3
236	274	26	1
238	274	26	1
232	275	26	1
233	275	26	1
235	275	26	1
237	275	26	1
239	275	26	1
246	275	26	1
248	275	26	1
250	275	26	2
207	276	26	2
215	276	26	1
234	276	26	2
235	276	26	1
237	276	26	2
239	276	26	2
248	276	26	1
207	277	26	1
213	277	26	1
230	277	26	1
231	277	26	1
232	277	26	1
234	277	26	2
237	277	26	1
239	277	26	2
249	277	26	1
250	277	26	1
231	278	26	2
232	278	26	2
233	278	26	1
239	278	26	1
240	278	26	1
231	279	26	2
232	279	26	2
234	279	26	1
239	279	26	1
240	279	26	1
241	279	26	1
248	279	26	1
249	279	26	1
250	279	26	3
230	280	26	1
232	280	26	1
233	280	26	1
234	280	26	1
238	280	26	1
241	280	26	1
242	280	26	1
250	280	26	1
217	281	26	1
230	281	26	1
231	281	26	1
232	281	26	1
236	281	26	1
237	281	26	1
239	281	26	2
240	281	26	1
246	281	26	1
247	281	26	1
208	282	26	2
209	282	26	1
212	282	26	2
215	282	26	1
229	282	26	1
231	282	26	1
234	282	26	1
235	282	26	1
237	282	26	2
238	282	26	2
242	282	26	1
245	282	26	2
246	282	26	1
251	282	26	2
254	282	26	1
231	283	26	2
233	283	26	1
238	283	26	1
239	283	26	1
243	283	26	1
251	283	26	6
253	283	26	1
212	284	26	4
232	284	26	1
242	284	26	2
245	284	26	1
246	284	26	2
211	285	26	1
212	285	26	1
232	285	26	1
234	285	26	1
235	285	26	2
240	285	26	1
244	285	26	1
253	285	26	3
255	285	26	2
216	286	26	1
232	286	26	2
233	286	26	1
234	286	26	1
236	286	26	1
237	286	26	1
238	286	26	1
241	286	26	1
247	286	26	1
248	286	26	1
249	286	26	2
250	286	26	1
253	286	26	1
254	286	26	2
223	287	26	1
232	287	26	1
237	287	26	3
243	287	26	1
248	287	26	2
249	287	26	1
251	287	26	1
236	288	26	1
250	288	26	1
252	288	26	1
253	288	26	1
223	289	26	1
231	289	26	2
233	289	26	1
234	289	26	2
235	289	26	1
236	289	26	1
237	289	26	3
238	289	26	1
252	289	26	1
227	290	26	1
233	290	26	1
236	290	26	3
238	290	26	1
240	290	26	1
242	290	26	1
243	290	26	1
244	290	26	3
232	291	26	1
235	291	26	1
236	291	26	1
237	291	26	1
238	291	26	2
239	291	26	1
242	291	26	1
245	291	26	2
246	291	26	1
249	291	26	1
250	291	26	1
226	292	26	1
227	292	26	2
237	292	26	2
242	292	26	2
246	292	26	1
247	292	26	1
251	292	26	2
225	293	26	2
234	293	26	1
236	293	26	2
237	293	26	1
239	293	26	2
245	293	26	1
246	293	26	3
253	293	26	1
235	294	26	1
237	294	26	1
239	294	26	1
240	294	26	1
241	294	26	1
242	294	26	1
243	294	26	1
244	294	26	1
245	294	26	1
249	294	26	3
221	295	26	1
222	295	26	3
241	295	26	1
242	295	26	1
243	295	26	1
244	295	26	1
245	295	26	1
254	295	26	1
235	296	26	3
239	296	26	1
240	296	26	2
241	296	26	1
242	296	26	2
243	296	26	1
244	296	26	1
237	297	26	1
239	297	26	1
240	297	26	1
242	297	26	3
244	297	26	1
245	297	26	1
246	297	26	1
236	298	26	2
239	298	26	1
242	298	26	1
246	298	26	1
236	299	26	1
239	299	26	1
240	299	26	2
225	300	26	2
227	300	26	2
236	300	26	3
241	300	26	2
227	301	26	1
235	301	26	4
182	255	27	1
184	255	27	2
184	256	27	2
181	257	27	2
186	257	27	1
184	258	27	1
215	258	27	4
184	259	27	2
188	259	27	1
228	259	27	1
229	259	27	1
231	259	27	2
232	259	27	1
181	260	27	2
186	260	27	2
226	260	27	1
227	260	27	1
228	260	27	2
233	260	27	1
234	260	27	1
180	261	27	2
185	261	27	1
220	261	27	3
222	261	27	2
227	261	27	2
228	261	27	2
230	261	27	1
231	261	27	2
232	261	27	3
235	261	27	2
237	261	27	1
239	261	27	1
177	262	27	3
182	262	27	1
184	262	27	1
227	262	27	1
232	262	27	1
233	262	27	1
236	262	27	1
238	262	27	3
175	263	27	4
179	263	27	2
183	263	27	1
185	263	27	2
210	263	27	2
211	263	27	1
215	263	27	1
220	263	27	3
225	263	27	1
229	263	27	2
230	263	27	1
231	263	27	1
234	263	27	1
235	263	27	1
236	263	27	1
238	263	27	1
176	264	27	1
209	264	27	2
219	264	27	3
222	264	27	3
224	264	27	2
228	264	27	2
229	264	27	1
231	264	27	1
234	264	27	2
238	264	27	1
239	264	27	2
240	264	27	1
248	264	27	1
181	265	27	1
184	265	27	3
189	265	27	1
212	265	27	2
225	265	27	1
230	265	27	1
231	265	27	2
232	265	27	1
235	265	27	1
236	265	27	2
238	265	27	2
239	265	27	1
178	266	27	1
180	266	27	1
201	266	27	2
215	266	27	1
217	266	27	2
224	266	27	1
226	266	27	2
227	266	27	5
228	266	27	1
229	266	27	1
231	266	27	2
233	266	27	1
234	266	27	2
235	266	27	1
237	266	27	1
214	267	27	1
226	267	27	2
230	267	27	2
231	267	27	1
234	267	27	1
235	267	27	1
236	267	27	2
239	267	27	1
240	267	27	2
249	267	27	1
250	267	27	2
179	268	27	1
180	268	27	3
181	268	27	1
197	268	27	1
207	268	27	1
217	268	27	1
222	268	27	1
223	268	27	3
224	268	27	1
225	268	27	1
226	268	27	2
231	268	27	2
233	268	27	2
236	268	27	1
238	268	27	1
241	268	27	4
178	269	27	1
180	269	27	1
182	269	27	1
201	269	27	1
205	269	27	1
207	269	27	1
213	269	27	1
218	269	27	1
224	269	27	1
225	269	27	2
227	269	27	1
228	269	27	2
232	269	27	1
234	269	27	1
235	269	27	1
238	269	27	1
239	269	27	1
240	269	27	1
242	269	27	1
252	269	27	1
178	270	27	1
181	270	27	1
192	270	27	1
207	270	27	1
215	270	27	1
216	270	27	1
226	270	27	1
227	270	27	1
228	270	27	1
230	270	27	1
231	270	27	4
238	270	27	1
248	270	27	1
250	270	27	2
181	271	27	1
207	271	27	2
209	271	27	2
210	271	27	1
211	271	27	1
216	271	27	1
225	271	27	1
226	271	27	2
228	271	27	2
230	271	27	1
233	271	27	1
235	271	27	2
236	271	27	1
237	271	27	1
239	271	27	1
240	271	27	1
242	271	27	2
243	271	27	1
248	271	27	1
249	271	27	1
251	271	27	2
176	272	27	1
203	272	27	1
204	272	27	1
205	272	27	2
207	272	27	2
208	272	27	2
215	272	27	1
216	272	27	1
220	272	27	2
222	272	27	1
229	272	27	1
232	272	27	2
234	272	27	1
235	272	27	1
237	272	27	1
238	272	27	2
240	272	27	1
241	272	27	1
249	272	27	2
251	272	27	1
203	273	27	1
205	273	27	1
210	273	27	1
211	273	27	1
212	273	27	3
215	273	27	1
220	273	27	2
223	273	27	1
224	273	27	1
232	273	27	2
235	273	27	1
240	273	27	1
246	273	27	1
248	273	27	1
251	273	27	2
253	273	27	1
177	274	27	1
179	274	27	1
182	274	27	3
204	274	27	2
206	274	27	1
209	274	27	1
211	274	27	1
213	274	27	2
214	274	27	1
216	274	27	2
221	274	27	2
228	274	27	1
229	274	27	1
231	274	27	1
232	274	27	1
233	274	27	1
238	274	27	1
239	274	27	1
240	274	27	1
247	274	27	2
250	274	27	2
254	274	27	1
182	275	27	1
185	275	27	1
205	275	27	1
206	275	27	5
212	275	27	1
216	275	27	1
218	275	27	2
222	275	27	2
223	275	27	1
224	275	27	2
228	275	27	1
232	275	27	1
233	275	27	1
235	275	27	2
236	275	27	2
237	275	27	1
244	275	27	1
245	275	27	2
247	275	27	3
249	275	27	4
250	275	27	1
252	275	27	2
254	275	27	1
204	276	27	1
205	276	27	2
207	276	27	2
211	276	27	2
214	276	27	1
215	276	27	3
217	276	27	1
219	276	27	2
220	276	27	2
222	276	27	2
230	276	27	3
234	276	27	1
238	276	27	2
244	276	27	2
245	276	27	1
247	276	27	1
250	276	27	1
204	277	27	1
208	277	27	2
211	277	27	1
212	277	27	2
213	277	27	1
215	277	27	2
218	277	27	3
220	277	27	2
224	277	27	2
227	277	27	1
235	277	27	1
237	277	27	2
240	277	27	2
244	277	27	1
245	277	27	4
249	277	27	2
206	278	27	4
208	278	27	2
209	278	27	1
211	278	27	1
213	278	27	1
214	278	27	2
219	278	27	1
220	278	27	2
221	278	27	2
225	278	27	2
227	278	27	2
231	278	27	3
233	278	27	1
234	278	27	1
235	278	27	1
238	278	27	1
246	278	27	1
249	278	27	1
207	279	27	4
210	279	27	2
219	279	27	2
230	279	27	1
234	279	27	1
235	279	27	2
236	279	27	2
238	279	27	2
239	279	27	1
240	279	27	1
242	279	27	1
245	279	27	2
251	279	27	1
252	279	27	1
204	280	27	1
205	280	27	2
206	280	27	1
207	280	27	1
209	280	27	1
210	280	27	1
214	280	27	3
232	280	27	2
233	280	27	1
234	280	27	1
235	280	27	1
238	280	27	2
239	280	27	1
241	280	27	1
242	280	27	1
243	280	27	2
244	280	27	1
247	280	27	1
250	280	27	2
251	280	27	2
206	281	27	2
209	281	27	1
217	281	27	1
218	281	27	1
231	281	27	2
233	281	27	1
234	281	27	3
236	281	27	2
237	281	27	1
241	281	27	1
243	281	27	1
251	281	27	1
252	281	27	1
256	281	27	1
212	282	27	1
213	282	27	1
231	282	27	2
236	282	27	1
237	282	27	1
238	282	27	1
241	282	27	1
244	282	27	1
245	282	27	1
247	282	27	1
248	282	27	1
249	282	27	1
250	282	27	2
252	282	27	2
253	282	27	1
201	283	27	2
207	283	27	2
208	283	27	2
209	283	27	2
210	283	27	2
215	283	27	1
218	283	27	2
228	283	27	1
231	283	27	2
232	283	27	1
234	283	27	2
235	283	27	1
238	283	27	1
241	283	27	2
242	283	27	2
244	283	27	1
245	283	27	1
249	283	27	1
254	283	27	1
255	283	27	1
256	283	27	1
205	284	27	2
206	284	27	3
208	284	27	1
210	284	27	1
212	284	27	1
214	284	27	1
215	284	27	1
235	284	27	1
236	284	27	2
237	284	27	1
238	284	27	3
243	284	27	1
249	284	27	1
250	284	27	4
251	284	27	1
252	284	27	1
254	284	27	1
255	284	27	2
256	284	27	1
257	284	27	1
199	285	27	2
206	285	27	1
208	285	27	1
209	285	27	3
210	285	27	3
211	285	27	2
213	285	27	1
220	285	27	1
223	285	27	1
224	285	27	1
233	285	27	3
235	285	27	2
236	285	27	2
237	285	27	1
238	285	27	1
240	285	27	1
242	285	27	1
245	285	27	1
249	285	27	1
250	285	27	1
254	285	27	1
255	285	27	1
204	286	27	2
206	286	27	1
208	286	27	1
209	286	27	1
211	286	27	1
212	286	27	2
216	286	27	1
232	286	27	3
233	286	27	1
234	286	27	3
235	286	27	1
240	286	27	1
244	286	27	1
245	286	27	2
246	286	27	1
248	286	27	2
251	286	27	1
252	286	27	1
254	286	27	1
207	287	27	1
214	287	27	1
223	287	27	1
228	287	27	1
230	287	27	1
231	287	27	2
232	287	27	1
233	287	27	2
234	287	27	1
236	287	27	1
237	287	27	1
241	287	27	1
242	287	27	2
243	287	27	1
246	287	27	3
248	287	27	1
249	287	27	1
252	287	27	1
256	287	27	1
211	288	27	2
223	288	27	2
225	288	27	2
226	288	27	2
228	288	27	1
231	288	27	1
232	288	27	1
233	288	27	2
234	288	27	1
237	288	27	2
243	288	27	1
244	288	27	2
245	288	27	2
249	288	27	2
250	288	27	1
251	288	27	2
252	288	27	1
253	288	27	1
255	288	27	2
203	289	27	1
209	289	27	1
219	289	27	2
223	289	27	1
228	289	27	1
230	289	27	1
231	289	27	1
232	289	27	2
234	289	27	1
235	289	27	1
237	289	27	1
238	289	27	1
239	289	27	1
240	289	27	1
249	289	27	1
251	289	27	1
252	289	27	1
254	289	27	1
214	290	27	1
219	290	27	1
221	290	27	1
222	290	27	2
224	290	27	1
228	290	27	2
230	290	27	3
231	290	27	1
233	290	27	1
236	290	27	2
237	290	27	1
246	290	27	1
249	290	27	2
252	290	27	2
253	290	27	1
210	291	27	1
211	291	27	1
213	291	27	1
221	291	27	2
222	291	27	2
224	291	27	2
225	291	27	1
227	291	27	1
236	291	27	1
239	291	27	1
240	291	27	2
243	291	27	1
248	291	27	3
251	291	27	1
257	291	27	1
211	292	27	1
212	292	27	1
213	292	27	2
218	292	27	1
220	292	27	1
223	292	27	3
225	292	27	2
226	292	27	1
229	292	27	1
230	292	27	1
234	292	27	3
235	292	27	1
237	292	27	1
238	292	27	2
239	292	27	2
247	292	27	1
248	292	27	1
250	292	27	2
253	292	27	1
211	293	27	2
217	293	27	1
218	293	27	1
219	293	27	3
221	293	27	1
222	293	27	1
223	293	27	1
224	293	27	1
226	293	27	2
229	293	27	2
237	293	27	2
238	293	27	1
239	293	27	1
240	293	27	1
243	293	27	1
244	293	27	1
247	293	27	1
248	293	27	2
251	293	27	3
253	293	27	1
256	293	27	3
213	294	27	1
217	294	27	2
220	294	27	1
224	294	27	2
226	294	27	1
235	294	27	2
236	294	27	2
237	294	27	1
249	294	27	1
250	294	27	1
251	294	27	1
252	294	27	4
211	295	27	1
218	295	27	2
219	295	27	1
223	295	27	1
239	295	27	2
241	295	27	2
243	295	27	1
249	295	27	4
250	295	27	2
251	295	27	1
252	295	27	2
255	295	27	1
221	296	27	1
237	296	27	1
238	296	27	1
239	296	27	2
240	296	27	1
241	296	27	1
245	296	27	1
246	296	27	1
247	296	27	2
249	296	27	1
255	296	27	2
217	297	27	1
220	297	27	3
221	297	27	1
225	297	27	1
236	297	27	1
237	297	27	1
239	297	27	1
240	297	27	2
245	297	27	1
246	297	27	1
248	297	27	1
249	297	27	1
251	297	27	1
252	297	27	1
253	297	27	1
223	298	27	1
235	298	27	1
238	298	27	1
244	298	27	2
245	298	27	1
247	298	27	2
215	299	27	1
226	299	27	1
229	299	27	1
236	299	27	1
237	299	27	2
242	299	27	2
245	299	27	1
246	299	27	1
247	299	27	1
252	299	27	2
226	300	27	1
228	300	27	1
231	300	27	2
235	300	27	2
237	300	27	1
241	300	27	2
242	300	27	2
244	300	27	1
247	300	27	1
248	300	27	1
224	301	27	1
234	301	27	3
235	301	27	1
236	301	27	2
238	301	27	1
240	301	27	1
243	301	27	1
245	301	27	1
247	301	27	1
250	301	27	2
251	301	27	1
238	302	27	2
239	302	27	2
245	302	27	1
241	303	27	1
235	304	27	3
237	304	27	1
238	304	27	1
235	305	27	1
237	305	27	5
230	262	28	1
232	264	28	1
234	265	28	1
231	266	28	2
232	266	28	1
234	266	28	1
235	266	28	2
231	267	28	4
236	267	28	1
235	268	28	1
237	268	28	1
238	268	28	1
237	269	28	1
238	269	28	3
235	270	28	1
236	270	28	5
237	270	28	1
238	270	28	1
250	270	28	3
236	271	28	2
237	271	28	2
232	272	28	1
233	272	28	1
236	272	28	1
250	272	28	1
211	273	28	2
235	275	28	1
249	275	28	2
233	276	28	1
235	277	28	1
236	277	28	1
237	277	28	1
248	279	28	2
208	281	28	1
210	281	28	1
235	281	28	2
248	281	28	1
250	281	28	1
234	282	28	2
247	282	28	1
249	282	28	2
251	282	28	1
237	283	28	1
238	283	28	1
246	283	28	1
247	283	28	1
235	284	28	1
239	285	28	1
240	285	28	1
242	285	28	2
245	285	28	2
232	286	28	1
235	286	28	1
246	286	28	1
248	286	28	1
249	286	28	2
244	287	28	2
245	287	28	1
246	287	28	1
224	288	28	1
242	288	28	2
227	289	28	2
228	289	28	2
243	289	28	2
245	289	28	2
246	289	28	1
253	289	28	1
226	290	28	1
237	290	28	3
240	290	28	1
242	290	28	1
226	291	28	1
237	291	28	1
240	291	28	1
249	291	28	2
250	291	28	1
222	292	28	2
239	292	28	1
242	292	28	1
245	292	28	1
247	292	28	1
240	293	28	1
249	293	28	1
250	293	28	2
240	294	28	1
241	294	28	2
242	294	28	2
250	294	28	1
240	295	28	1
241	295	28	2
245	295	28	2
248	295	28	2
239	297	28	2
245	297	28	1
225	300	28	1
229	255	29	1
234	256	29	2
235	256	29	1
182	257	29	1
230	257	29	3
235	257	29	3
190	258	29	2
228	258	29	1
233	258	29	1
234	258	29	1
182	259	29	1
188	259	29	1
230	259	29	2
238	259	29	2
181	260	29	2
182	260	29	1
234	260	29	1
187	261	29	1
199	261	29	1
229	261	29	2
230	261	29	2
220	262	29	2
229	262	29	2
234	263	29	1
248	263	29	1
178	264	29	1
216	264	29	1
226	264	29	3
230	264	29	2
232	264	29	2
238	264	29	1
245	264	29	2
248	264	29	2
181	265	29	1
226	265	29	1
233	265	29	1
234	265	29	1
239	265	29	3
178	266	29	1
197	266	29	1
229	266	29	3
230	266	29	1
232	266	29	1
234	266	29	1
236	266	29	1
237	266	29	1
245	266	29	2
248	266	29	1
192	267	29	2
193	267	29	1
194	267	29	3
196	267	29	1
197	267	29	1
199	267	29	2
226	267	29	1
232	267	29	2
234	267	29	1
236	267	29	1
241	267	29	1
249	267	29	1
231	268	29	4
236	268	29	1
238	268	29	3
239	268	29	2
244	268	29	2
250	268	29	1
180	269	29	2
193	269	29	2
196	269	29	2
235	269	29	2
237	269	29	1
240	269	29	1
248	269	29	1
175	270	29	2
178	270	29	1
196	270	29	1
198	270	29	2
200	270	29	2
215	270	29	1
227	270	29	2
230	270	29	1
231	270	29	1
232	270	29	1
235	270	29	1
239	270	29	1
182	271	29	2
203	271	29	1
214	271	29	2
229	271	29	1
233	271	29	1
237	271	29	1
240	271	29	1
241	271	29	3
242	271	29	2
249	271	29	2
213	272	29	1
215	272	29	2
224	272	29	1
232	272	29	1
234	272	29	1
241	272	29	3
245	272	29	2
182	273	29	1
207	273	29	1
236	273	29	1
238	273	29	1
250	273	29	1
206	274	29	2
232	274	29	1
233	274	29	3
235	274	29	1
238	274	29	1
239	274	29	3
250	274	29	1
184	275	29	2
215	275	29	1
232	275	29	3
236	275	29	1
237	275	29	1
238	275	29	1
241	275	29	1
206	276	29	1
232	276	29	1
234	276	29	2
236	276	29	3
237	276	29	1
238	276	29	1
246	276	29	1
248	276	29	3
249	276	29	2
250	276	29	1
232	277	29	1
234	277	29	1
236	277	29	1
237	277	29	2
238	277	29	3
239	277	29	1
240	277	29	1
247	277	29	1
251	277	29	1
204	278	29	1
208	278	29	1
247	278	29	1
250	278	29	1
206	279	29	1
234	279	29	1
236	279	29	1
238	279	29	3
245	279	29	1
246	279	29	1
249	279	29	1
256	279	29	2
205	280	29	1
233	280	29	2
235	280	29	1
236	280	29	1
249	280	29	2
251	280	29	1
254	280	29	2
256	280	29	1
208	281	29	1
214	281	29	1
232	281	29	1
233	281	29	1
234	281	29	1
237	281	29	2
238	281	29	2
243	281	29	1
246	281	29	1
247	281	29	1
249	281	29	1
206	282	29	2
212	282	29	2
235	282	29	1
241	282	29	1
244	282	29	1
246	282	29	1
254	282	29	2
209	283	29	1
215	283	29	5
231	283	29	3
232	283	29	1
234	283	29	1
236	283	29	1
237	283	29	1
239	283	29	1
247	283	29	1
248	283	29	3
251	283	29	1
234	284	29	1
236	284	29	2
237	284	29	2
241	284	29	1
242	284	29	1
243	284	29	3
244	284	29	2
245	284	29	1
246	284	29	1
249	284	29	1
250	284	29	1
255	284	29	1
256	284	29	1
219	285	29	2
226	285	29	2
236	285	29	1
238	285	29	2
239	285	29	1
243	285	29	2
244	285	29	1
246	285	29	1
247	285	29	1
248	285	29	2
254	285	29	1
211	286	29	1
232	286	29	3
234	286	29	1
240	286	29	2
241	286	29	2
243	286	29	1
247	286	29	2
249	286	29	1
226	287	29	2
228	287	29	1
231	287	29	1
232	287	29	2
233	287	29	1
234	287	29	1
238	287	29	1
240	287	29	2
241	287	29	1
245	287	29	2
247	287	29	1
226	288	29	1
233	288	29	1
235	288	29	1
236	288	29	1
240	288	29	1
242	288	29	1
243	288	29	1
245	288	29	1
246	288	29	2
249	288	29	1
253	288	29	1
227	289	29	1
228	289	29	2
234	289	29	2
235	289	29	1
237	289	29	2
250	289	29	1
222	290	29	1
224	290	29	1
237	290	29	1
238	290	29	2
240	290	29	1
243	290	29	3
245	290	29	1
246	290	29	1
226	291	29	1
238	291	29	1
239	291	29	2
246	291	29	1
249	291	29	2
250	291	29	1
251	291	29	2
227	292	29	1
237	292	29	1
242	292	29	2
243	292	29	1
245	292	29	1
247	292	29	1
248	292	29	1
249	292	29	2
250	292	29	1
222	293	29	1
223	293	29	1
237	293	29	1
239	293	29	1
242	293	29	1
246	293	29	1
247	293	29	1
252	293	29	1
253	293	29	1
224	294	29	2
236	294	29	1
240	294	29	1
242	294	29	1
243	294	29	1
244	294	29	3
249	294	29	1
251	294	29	1
221	295	29	1
223	295	29	2
241	295	29	2
243	295	29	1
245	295	29	1
222	296	29	2
223	296	29	2
239	296	29	1
252	296	29	2
253	296	29	1
255	296	29	1
227	297	29	3
240	297	29	2
241	297	29	1
243	297	29	3
247	297	29	2
248	297	29	3
219	298	29	1
224	298	29	1
226	298	29	2
239	298	29	2
242	298	29	1
245	298	29	1
247	298	29	1
248	298	29	1
249	298	29	1
221	299	29	1
226	299	29	2
227	299	29	5
239	299	29	2
241	299	29	1
252	299	29	1
235	300	29	1
236	300	29	1
239	300	29	1
240	300	29	2
247	300	29	1
221	301	29	1
225	301	29	1
236	301	29	1
224	302	29	1
240	303	29	2
237	304	29	1
229	250	30	3
225	251	30	1
215	252	30	1
233	252	30	1
231	253	30	1
237	253	30	1
230	254	30	1
231	254	30	2
233	254	30	2
235	254	30	1
238	254	30	2
191	255	30	1
215	255	30	1
229	255	30	1
230	255	30	1
232	255	30	1
236	255	30	1
237	255	30	1
204	256	30	1
229	256	30	1
232	256	30	1
236	256	30	1
183	257	30	3
190	257	30	1
192	257	30	1
204	257	30	1
227	257	30	1
228	257	30	2
229	257	30	1
236	257	30	1
239	257	30	3
240	257	30	2
175	258	30	1
226	258	30	1
227	258	30	2
228	258	30	2
231	258	30	1
233	258	30	1
237	258	30	1
239	258	30	1
175	259	30	1
189	259	30	1
206	259	30	1
210	259	30	1
214	259	30	3
218	259	30	1
219	259	30	3
220	259	30	3
222	259	30	1
224	259	30	1
226	259	30	3
228	259	30	1
229	259	30	1
230	259	30	1
232	259	30	3
234	259	30	1
238	259	30	2
239	259	30	1
241	259	30	2
184	260	30	2
190	260	30	2
196	260	30	3
197	260	30	1
206	260	30	3
216	260	30	1
217	260	30	1
223	260	30	1
225	260	30	1
227	260	30	1
228	260	30	1
231	260	30	1
232	260	30	1
235	260	30	1
236	260	30	1
238	260	30	1
239	260	30	2
186	261	30	1
187	261	30	3
196	261	30	2
208	261	30	1
209	261	30	1
212	261	30	2
216	261	30	1
217	261	30	1
219	261	30	1
225	261	30	1
227	261	30	3
229	261	30	1
230	261	30	1
231	261	30	1
232	261	30	1
236	261	30	1
238	261	30	3
241	261	30	1
244	261	30	3
188	262	30	2
193	262	30	1
206	262	30	3
209	262	30	1
219	262	30	3
221	262	30	1
222	262	30	1
223	262	30	1
227	262	30	1
233	262	30	2
242	262	30	1
245	262	30	2
247	262	30	1
248	262	30	1
249	262	30	1
251	262	30	2
179	263	30	1
182	263	30	2
186	263	30	3
210	263	30	1
211	263	30	1
218	263	30	1
219	263	30	1
240	263	30	1
246	263	30	1
247	263	30	1
249	263	30	1
186	264	30	1
194	264	30	1
211	264	30	2
226	264	30	1
229	264	30	1
230	264	30	1
233	264	30	1
238	264	30	2
239	264	30	2
241	264	30	1
245	264	30	2
250	264	30	1
191	265	30	2
196	265	30	1
197	265	30	1
200	265	30	1
211	265	30	2
214	265	30	2
216	265	30	1
217	265	30	2
219	265	30	2
224	265	30	3
228	265	30	1
229	265	30	1
230	265	30	2
232	265	30	1
233	265	30	2
234	265	30	2
235	265	30	2
236	265	30	1
238	265	30	1
242	265	30	2
246	265	30	1
248	265	30	1
188	266	30	2
189	266	30	2
193	266	30	1
194	266	30	1
211	266	30	2
213	266	30	1
214	266	30	2
228	266	30	1
229	266	30	2
230	266	30	1
243	266	30	1
247	266	30	1
182	267	30	1
189	267	30	2
191	267	30	1
196	267	30	1
208	267	30	1
209	267	30	1
214	267	30	2
228	267	30	4
232	267	30	2
235	267	30	1
236	267	30	2
239	267	30	1
241	267	30	1
245	267	30	1
248	267	30	1
172	268	30	2
188	268	30	4
189	268	30	1
190	268	30	2
194	268	30	2
195	268	30	3
196	268	30	2
206	268	30	2
207	268	30	1
213	268	30	1
214	268	30	1
216	268	30	1
223	268	30	2
226	268	30	1
230	268	30	2
231	268	30	1
237	268	30	2
238	268	30	2
240	268	30	2
244	268	30	1
247	268	30	1
248	268	30	1
249	268	30	1
250	268	30	2
172	269	30	3
177	269	30	2
178	269	30	1
191	269	30	1
193	269	30	4
199	269	30	1
204	269	30	1
215	269	30	4
216	269	30	2
219	269	30	1
222	269	30	1
232	269	30	3
233	269	30	1
235	269	30	1
238	269	30	1
242	269	30	2
243	269	30	1
244	269	30	1
245	269	30	2
247	269	30	1
