x	y	z	Fc epsilon receptor (FCERI) signaling
233	290	26	3
237	290	26	1
239	290	26	1
222	291	26	1
229	291	26	1
235	291	26	1
236	291	26	1
238	291	26	1
239	291	26	1
246	291	26	1
249	291	26	1
226	292	26	1
237	292	26	1
239	292	26	2
242	292	26	2
246	292	26	3
249	292	26	2
251	292	26	2
252	292	26	1
254	292	26	2
225	293	26	1
234	293	26	1
236	293	26	2
238	293	26	1
239	293	26	2
240	293	26	2
244	293	26	2
245	293	26	1
253	293	26	2
239	294	26	2
243	294	26	1
244	294	26	1
245	294	26	1
246	294	26	1
221	295	26	1
234	295	26	1
240	295	26	2
243	295	26	1
244	295	26	1
245	295	26	1
248	295	26	2
254	295	26	1
235	296	26	1
239	296	26	1
240	296	26	2
241	296	26	1
243	296	26	2
240	297	26	2
244	297	26	1
245	297	26	1
235	298	26	1
236	298	26	2
239	298	26	2
246	298	26	2
236	299	26	2
225	300	26	1
236	300	26	2
227	301	26	1
235	301	26	2
182	255	27	1
184	255	27	1
181	257	27	1
186	257	27	1
181	258	27	3
184	258	27	1
215	258	27	1
232	258	27	1
183	259	27	1
184	259	27	1
185	259	27	2
188	259	27	1
229	259	27	1
232	259	27	1
176	260	27	1
181	260	27	2
185	260	27	1
186	260	27	2
228	260	27	1
234	260	27	1
240	260	27	1
177	261	27	3
181	261	27	2
185	261	27	1
220	261	27	1
222	261	27	2
227	261	27	1
228	261	27	1
229	261	27	1
230	261	27	1
231	261	27	2
235	261	27	2
236	261	27	1
239	261	27	2
177	262	27	2
184	262	27	1
186	262	27	2
238	262	27	1
239	262	27	3
175	263	27	1
178	263	27	2
182	263	27	1
210	263	27	3
215	263	27	1
225	263	27	2
230	263	27	1
231	263	27	2
232	263	27	1
234	263	27	1
235	263	27	1
236	263	27	1
244	263	27	1
175	264	27	1
176	264	27	1
180	264	27	1
186	264	27	1
219	264	27	2
222	264	27	2
238	264	27	4
248	264	27	1
189	265	27	2
212	265	27	2
215	265	27	1
226	265	27	2
231	265	27	1
236	265	27	2
237	265	27	1
240	265	27	1
180	266	27	2
201	266	27	1
215	266	27	2
217	266	27	1
219	266	27	1
221	266	27	1
224	266	27	1
230	266	27	1
232	266	27	2
234	266	27	1
237	266	27	1
214	267	27	1
215	267	27	2
226	267	27	1
228	267	27	1
229	267	27	2
232	267	27	1
233	267	27	1
236	267	27	1
239	267	27	1
240	267	27	2
241	267	27	1
249	267	27	1
250	267	27	3
181	268	27	1
207	268	27	1
213	268	27	2
214	268	27	1
215	268	27	1
222	268	27	1
224	268	27	1
226	268	27	1
229	268	27	2
232	268	27	1
233	268	27	1
234	268	27	1
237	268	27	1
239	268	27	1
243	268	27	1
248	268	27	1
177	269	27	2
179	269	27	1
182	269	27	3
205	269	27	1
211	269	27	1
213	269	27	1
231	269	27	1
233	269	27	2
234	269	27	2
236	269	27	3
237	269	27	1
238	269	27	1
241	269	27	4
242	269	27	2
252	269	27	3
178	270	27	1
181	270	27	2
184	270	27	1
197	270	27	1
216	270	27	2
221	270	27	2
226	270	27	1
227	270	27	1
228	270	27	1
230	270	27	2
231	270	27	1
232	270	27	2
234	270	27	2
237	270	27	1
238	270	27	3
240	270	27	1
242	270	27	1
250	270	27	1
178	271	27	2
180	271	27	1
181	271	27	1
182	271	27	2
206	271	27	2
210	271	27	2
211	271	27	1
215	271	27	2
216	271	27	1
217	271	27	2
222	271	27	1
223	271	27	1
226	271	27	2
228	271	27	1
230	271	27	1
232	271	27	1
233	271	27	2
236	271	27	1
237	271	27	1
240	271	27	1
243	271	27	1
248	271	27	2
250	271	27	2
251	271	27	2
176	272	27	1
204	272	27	1
207	272	27	1
213	272	27	1
214	272	27	1
215	272	27	1
216	272	27	1
217	272	27	1
220	272	27	1
223	272	27	3
225	272	27	1
227	272	27	1
228	272	27	1
230	272	27	1
231	272	27	1
232	272	27	1
234	272	27	1
235	272	27	2
236	272	27	1
251	272	27	1
183	273	27	1
205	273	27	3
206	273	27	1
207	273	27	2
211	273	27	1
212	273	27	1
213	273	27	2
214	273	27	2
223	273	27	1
229	273	27	1
231	273	27	1
232	273	27	3
234	273	27	1
235	273	27	3
238	273	27	1
241	273	27	1
247	273	27	1
249	273	27	1
253	273	27	2
204	274	27	1
207	274	27	1
211	274	27	1
213	274	27	2
221	274	27	1
224	274	27	3
228	274	27	1
229	274	27	1
235	274	27	1
236	274	27	2
239	274	27	1
240	274	27	2
247	274	27	1
250	274	27	1
252	274	27	1
254	274	27	2
184	275	27	1
185	275	27	2
205	275	27	1
211	275	27	1
212	275	27	1
213	275	27	1
217	275	27	1
218	275	27	1
223	275	27	1
224	275	27	3
230	275	27	1
232	275	27	1
236	275	27	1
237	275	27	2
244	275	27	1
247	275	27	1
249	275	27	3
250	275	27	1
204	276	27	1
207	276	27	2
208	276	27	1
209	276	27	1
212	276	27	1
214	276	27	1
215	276	27	1
219	276	27	1
220	276	27	2
232	276	27	1
233	276	27	1
234	276	27	1
239	276	27	1
240	276	27	1
245	276	27	3
246	276	27	2
247	276	27	1
208	277	27	1
210	277	27	1
212	277	27	2
213	277	27	1
215	277	27	1
218	277	27	1
224	277	27	2
231	277	27	2
235	277	27	4
240	277	27	2
246	277	27	1
250	277	27	2
204	278	27	2
206	278	27	1
208	278	27	1
210	278	27	1
220	278	27	1
229	278	27	1
230	278	27	2
231	278	27	1
233	278	27	1
234	278	27	1
238	278	27	1
239	278	27	1
240	278	27	1
244	278	27	1
245	278	27	1
249	278	27	2
252	278	27	2
201	279	27	2
208	279	27	1
210	279	27	2
232	279	27	1
237	279	27	1
238	279	27	1
239	279	27	1
240	279	27	1
241	279	27	1
243	279	27	1
248	279	27	1
250	279	27	2
204	280	27	1
214	280	27	1
233	280	27	1
234	280	27	1
235	280	27	1
238	280	27	1
239	280	27	1
240	280	27	1
241	280	27	2
242	280	27	1
243	280	27	1
244	280	27	1
246	280	27	1
248	280	27	2
250	280	27	1
207	281	27	1
210	281	27	1
214	281	27	2
215	281	27	1
217	281	27	3
231	281	27	2
234	281	27	1
235	281	27	1
236	281	27	2
238	281	27	1
243	281	27	1
246	281	27	1
248	281	27	2
249	281	27	4
252	281	27	2
254	281	27	1
256	281	27	2
257	281	27	1
205	282	27	1
206	282	27	1
216	282	27	1
217	282	27	2
229	282	27	1
233	282	27	2
236	282	27	2
237	282	27	1
238	282	27	1
239	282	27	1
240	282	27	1
243	282	27	1
245	282	27	1
246	282	27	1
247	282	27	1
248	282	27	1
249	282	27	1
252	282	27	2
253	282	27	1
206	283	27	1
207	283	27	1
208	283	27	1
210	283	27	2
215	283	27	1
221	283	27	1
231	283	27	1
232	283	27	2
238	283	27	1
240	283	27	1
242	283	27	2
243	283	27	1
244	283	27	3
248	283	27	3
249	283	27	1
251	283	27	1
254	283	27	1
255	283	27	1
256	283	27	1
205	284	27	2
206	284	27	1
208	284	27	1
209	284	27	1
210	284	27	1
212	284	27	1
213	284	27	1
230	284	27	1
232	284	27	2
235	284	27	2
236	284	27	1
240	284	27	1
241	284	27	1
249	284	27	2
251	284	27	1
253	284	27	3
254	284	27	2
255	284	27	1
256	284	27	2
257	284	27	1
200	285	27	2
209	285	27	1
215	285	27	1
220	285	27	1
223	285	27	1
224	285	27	2
236	285	27	2
240	285	27	1
242	285	27	1
245	285	27	1
246	285	27	2
247	285	27	2
249	285	27	1
253	285	27	1
256	285	27	2
211	286	27	1
212	286	27	2
214	286	27	4
216	286	27	1
220	286	27	1
224	286	27	3
226	286	27	1
232	286	27	2
234	286	27	1
236	286	27	1
244	286	27	1
245	286	27	1
246	286	27	1
248	286	27	2
252	286	27	1
254	286	27	2
255	286	27	1
256	286	27	1
219	287	27	1
222	287	27	2
223	287	27	1
228	287	27	1
230	287	27	1
231	287	27	1
234	287	27	1
236	287	27	1
237	287	27	3
242	287	27	1
243	287	27	2
246	287	27	1
248	287	27	1
252	287	27	2
253	287	27	1
255	287	27	2
204	288	27	1
207	288	27	1
211	288	27	1
214	288	27	1
224	288	27	1
225	288	27	1
228	288	27	1
229	288	27	1
231	288	27	1
232	288	27	1
233	288	27	1
235	288	27	2
237	288	27	1
240	288	27	2
241	288	27	1
242	288	27	1
244	288	27	1
245	288	27	1
252	288	27	1
253	288	27	1
219	289	27	1
224	289	27	2
225	289	27	1
230	289	27	2
231	289	27	1
232	289	27	2
234	289	27	2
236	289	27	1
237	289	27	1
246	289	27	1
251	289	27	1
252	289	27	2
253	289	27	1
254	289	27	1
256	289	27	1
207	290	27	1
214	290	27	2
222	290	27	1
224	290	27	1
225	290	27	4
226	290	27	1
231	290	27	1
233	290	27	1
234	290	27	3
235	290	27	1
236	290	27	1
239	290	27	1
240	290	27	1
241	290	27	3
247	290	27	1
249	290	27	1
250	290	27	1
251	290	27	1
252	290	27	1
253	290	27	2
211	291	27	2
213	291	27	1
221	291	27	1
225	291	27	1
234	291	27	2
236	291	27	1
238	291	27	1
240	291	27	1
247	291	27	2
248	291	27	1
249	291	27	1
252	291	27	1
257	291	27	2
213	292	27	1
218	292	27	1
219	292	27	1
221	292	27	1
223	292	27	1
225	292	27	1
227	292	27	4
229	292	27	1
230	292	27	1
234	292	27	1
241	292	27	2
246	292	27	2
247	292	27	1
248	292	27	1
251	292	27	1
252	292	27	1
210	293	27	1
211	293	27	1
217	293	27	1
218	293	27	1
219	293	27	2
220	293	27	2
223	293	27	1
225	293	27	2
226	293	27	1
227	293	27	4
234	293	27	2
237	293	27	1
239	293	27	1
240	293	27	2
242	293	27	2
245	293	27	1
247	293	27	1
249	293	27	1
256	293	27	1
213	294	27	1
217	294	27	3
224	294	27	2
225	294	27	1
226	294	27	2
244	294	27	2
245	294	27	1
249	294	27	1
253	294	27	1
255	294	27	1
257	294	27	1
211	295	27	1
219	295	27	1
223	295	27	3
241	295	27	1
243	295	27	1
244	295	27	1
248	295	27	2
249	295	27	2
250	295	27	2
252	295	27	1
255	295	27	1
211	296	27	1
220	296	27	1
221	296	27	1
236	296	27	1
237	296	27	1
238	296	27	1
239	296	27	1
241	296	27	2
244	296	27	3
245	296	27	1
246	296	27	1
249	296	27	1
252	296	27	2
217	297	27	3
220	297	27	2
238	297	27	1
243	297	27	3
246	297	27	4
251	297	27	1
253	297	27	1
221	298	27	2
223	298	27	1
224	298	27	1
237	298	27	3
243	298	27	1
244	298	27	1
247	298	27	2
248	298	27	2
226	299	27	1
230	299	27	1
236	299	27	1
239	299	27	1
240	299	27	1
241	299	27	2
242	299	27	1
245	299	27	1
246	299	27	1
247	299	27	1
248	299	27	2
249	299	27	1
252	299	27	4
226	300	27	1
235	300	27	1
236	300	27	1
239	300	27	1
240	300	27	1
241	300	27	1
247	300	27	2
248	300	27	1
224	301	27	1
227	301	27	3
234	301	27	1
235	301	27	2
238	301	27	1
241	301	27	2
245	301	27	1
247	301	27	2
250	301	27	1
251	301	27	1
226	302	27	1
241	303	27	2
235	304	27	1
236	304	27	2
238	304	27	1
243	304	27	2
237	305	27	3
230	262	28	2
232	264	28	1
234	265	28	1
231	266	28	3
234	267	28	1
236	267	28	3
235	268	28	2
236	269	28	2
237	269	28	1
235	270	28	1
238	270	28	1
237	271	28	1
206	272	28	2
233	272	28	3
234	272	28	2
236	272	28	2
214	274	28	1
234	274	28	1
235	274	28	1
235	275	28	1
233	276	28	1
234	276	28	2
237	276	28	2
235	277	28	1
237	277	28	1
236	278	28	2
210	279	28	1
248	279	28	2
251	280	28	1
208	281	28	1
210	281	28	1
248	281	28	1
250	281	28	1
252	281	28	2
234	282	28	1
235	282	28	1
246	282	28	1
247	283	28	1
249	283	28	1
235	284	28	2
246	284	28	2
250	284	28	2
254	284	28	3
238	285	28	1
239	285	28	1
244	285	28	1
245	285	28	2
248	285	28	3
235	286	28	1
247	286	28	3
248	286	28	1
249	286	28	1
240	287	28	1
245	287	28	1
248	287	28	2
244	288	28	2
227	289	28	1
228	289	28	3
231	289	28	1
243	289	28	1
245	289	28	1
246	289	28	1
248	289	28	1
253	289	28	1
237	290	28	3
240	290	28	1
245	290	28	1
239	291	28	2
240	291	28	2
241	291	28	2
222	292	28	2
239	292	28	1
241	292	28	1
245	292	28	3
248	292	28	1
250	292	28	2
248	293	28	2
250	293	28	1
242	294	28	1
240	295	28	1
241	295	28	1
248	295	28	2
240	298	28	1
225	300	28	1
236	300	28	1
240	300	28	2
229	255	29	2
234	256	29	1
230	257	29	1
181	258	29	2
233	258	29	1
235	258	29	2
237	258	29	1
188	259	29	1
229	259	29	1
238	259	29	1
181	260	29	1
182	260	29	1
240	260	29	2
227	261	29	2
231	261	29	1
220	262	29	2
231	263	29	2
232	263	29	2
234	263	29	1
178	264	29	1
216	264	29	1
224	264	29	1
226	264	29	2
231	264	29	2
232	264	29	1
238	264	29	2
233	265	29	1
235	265	29	1
249	265	29	2
178	266	29	1
230	266	29	1
232	266	29	1
236	266	29	2
237	266	29	4
250	266	29	1
193	267	29	1
196	267	29	2
197	267	29	1
199	267	29	1
226	267	29	1
230	267	29	2
232	267	29	2
236	267	29	1
237	267	29	1
241	267	29	1
249	267	29	1
194	268	29	1
217	268	29	1
226	268	29	2
234	268	29	2
235	268	29	1
237	268	29	1
239	268	29	1
244	268	29	1
180	269	29	3
193	269	29	1
196	269	29	1
232	269	29	1
234	269	29	1
235	269	29	1
237	269	29	1
249	269	29	1
175	270	29	1
178	270	29	1
215	270	29	1
231	270	29	2
232	270	29	1
234	270	29	1
235	270	29	1
237	270	29	2
173	271	29	1
203	271	29	1
204	271	29	3
216	271	29	1
229	271	29	2
233	271	29	1
234	271	29	3
240	271	29	2
241	271	29	3
242	271	29	1
251	271	29	1
224	272	29	1
235	272	29	2
239	272	29	2
245	272	29	2
182	273	29	1
207	273	29	1
225	273	29	1
236	273	29	1
232	274	29	1
233	274	29	1
234	274	29	2
236	274	29	2
239	274	29	3
206	275	29	1
215	275	29	1
231	275	29	1
235	275	29	1
237	275	29	1
239	275	29	1
241	275	29	1
204	276	29	2
205	276	29	1
208	276	29	1
232	276	29	2
236	276	29	1
237	276	29	1
238	276	29	1
240	276	29	1
250	276	29	1
252	276	29	1
232	277	29	1
236	277	29	1
237	277	29	1
238	277	29	1
239	277	29	2
240	277	29	1
250	277	29	2
251	277	29	1
204	278	29	3
208	278	29	1
236	278	29	1
237	278	29	1
239	278	29	2
244	278	29	1
250	278	29	3
235	279	29	2
238	279	29	1
245	279	29	1
247	279	29	2
248	279	29	3
254	279	29	2
205	280	29	1
233	280	29	1
234	280	29	1
238	280	29	3
245	280	29	1
246	280	29	1
251	280	29	1
254	280	29	2
256	280	29	2
208	281	29	2
214	281	29	2
224	281	29	2
234	281	29	1
235	281	29	2
237	281	29	1
245	281	29	1
248	281	29	1
250	281	29	2
206	282	29	2
233	282	29	1
241	282	29	1
246	282	29	1
250	282	29	1
254	282	29	1
215	283	29	1
232	283	29	2
236	283	29	1
237	283	29	2
244	283	29	1
245	283	29	1
246	283	29	2
247	283	29	1
248	283	29	1
249	283	29	3
250	283	29	1
251	283	29	1
211	284	29	2
222	284	29	1
237	284	29	2
238	284	29	3
241	284	29	1
243	284	29	1
245	284	29	1
246	284	29	3
248	284	29	2
252	284	29	3
256	284	29	1
219	285	29	1
227	285	29	2
233	285	29	1
236	285	29	1
238	285	29	1
241	285	29	2
244	285	29	2
250	285	29	1
234	286	29	1
236	286	29	2
241	286	29	1
242	286	29	1
231	287	29	1
232	287	29	1
238	287	29	1
240	287	29	2
244	287	29	1
247	287	29	1
249	287	29	2
224	288	29	2
226	288	29	1
228	288	29	1
233	288	29	2
235	288	29	1
240	288	29	1
241	288	29	1
242	288	29	1
243	288	29	1
244	288	29	1
245	288	29	1
224	289	29	1
225	289	29	1
227	289	29	1
228	289	29	1
235	289	29	1
236	289	29	5
243	289	29	1
245	289	29	1
247	289	29	1
250	289	29	1
254	289	29	2
226	290	29	1
237	290	29	1
238	290	29	1
239	290	29	1
240	290	29	1
242	290	29	1
243	290	29	3
245	290	29	2
246	290	29	2
247	290	29	1
224	291	29	1
226	291	29	1
238	291	29	2
246	291	29	1
247	291	29	1
248	291	29	2
249	291	29	1
251	291	29	2
227	292	29	1
237	292	29	1
239	292	29	1
242	292	29	1
249	292	29	1
222	293	29	2
223	293	29	1
225	293	29	1
237	293	29	2
239	293	29	1
242	293	29	1
249	293	29	2
252	293	29	1
221	294	29	1
236	294	29	1
238	294	29	2
240	294	29	1
241	294	29	1
242	294	29	1
244	294	29	2
245	294	29	5
246	294	29	2
220	295	29	2
221	295	29	2
223	295	29	2
240	295	29	1
241	295	29	1
245	295	29	3
247	295	29	2
219	296	29	1
222	296	29	1
239	296	29	2
249	296	29	1
253	296	29	1
238	297	29	3
241	297	29	3
245	297	29	1
246	297	29	1
248	297	29	1
215	298	29	1
219	298	29	2
226	298	29	1
237	298	29	1
239	298	29	3
245	298	29	1
247	298	29	1
221	299	29	2
222	299	29	2
226	299	29	1
237	299	29	1
239	299	29	1
240	299	29	1
252	299	29	2
221	300	29	1
225	300	29	1
226	300	29	2
236	300	29	1
239	300	29	1
240	300	29	1
223	301	29	1
227	301	29	1
238	301	29	1
224	302	29	2
235	302	29	1
250	302	29	1
240	303	29	1
237	304	29	2
236	305	29	1
229	250	30	2
228	251	30	2
233	252	30	1
228	253	30	1
237	253	30	2
232	254	30	1
235	254	30	1
236	254	30	1
191	255	30	2
229	255	30	1
230	255	30	1
234	255	30	2
236	255	30	1
204	256	30	1
233	256	30	1
209	257	30	1
227	257	30	3
228	257	30	1
229	257	30	3
230	257	30	1
236	257	30	3
237	257	30	1
239	257	30	1
240	257	30	3
176	258	30	2
186	258	30	2
203	258	30	2
215	258	30	2
226	258	30	1
231	258	30	1
233	258	30	1
236	258	30	2
238	258	30	1
239	258	30	1
175	259	30	1
189	259	30	1
205	259	30	2
214	259	30	1
218	259	30	4
219	259	30	3
226	259	30	1
227	259	30	2
228	259	30	1
229	259	30	1
231	259	30	2
232	259	30	1
234	259	30	2
238	259	30	1
241	259	30	1
184	260	30	1
186	260	30	1
206	260	30	1
216	260	30	1
217	260	30	1
223	260	30	2
225	260	30	1
226	260	30	1
227	260	30	1
231	260	30	1
237	260	30	1
238	260	30	1
184	261	30	1
186	261	30	1
187	261	30	1
188	261	30	2
199	261	30	1
212	261	30	1
216	261	30	1
217	261	30	1
218	261	30	1
219	261	30	1
225	261	30	1
227	261	30	1
236	261	30	1
239	261	30	1
241	261	30	1
244	261	30	1
249	261	30	3
178	262	30	2
186	262	30	3
187	262	30	1
188	262	30	1
193	262	30	1
194	262	30	1
216	262	30	1
218	262	30	2
219	262	30	2
220	262	30	2
221	262	30	1
222	262	30	1
223	262	30	1
230	262	30	3
231	262	30	2
240	262	30	1
242	262	30	1
245	262	30	1
246	262	30	1
247	262	30	1
248	262	30	1
251	262	30	3
186	263	30	1
189	263	30	1
193	263	30	1
210	263	30	1
215	263	30	2
216	263	30	2
228	263	30	3
233	263	30	1
240	263	30	2
246	263	30	1
248	263	30	1
178	264	30	2
194	264	30	1
195	264	30	2
211	264	30	1
222	264	30	1
226	264	30	3
227	264	30	2
231	264	30	1
236	264	30	2
238	264	30	1
240	264	30	1
245	264	30	1
246	264	30	1
249	264	30	1
183	265	30	1
191	265	30	1
193	265	30	1
197	265	30	1
208	265	30	2
212	265	30	1
219	265	30	2
224	265	30	1
230	265	30	1
232	265	30	1
233	265	30	1
235	265	30	1
238	265	30	1
242	265	30	2
246	265	30	1
248	265	30	2
184	266	30	1
187	266	30	4
194	266	30	1
211	266	30	1
212	266	30	1
213	266	30	3
214	266	30	1
215	266	30	1
219	266	30	2
226	266	30	1
228	266	30	1
229	266	30	2
233	266	30	1
238	266	30	2
239.5	266.5	30.5	1
240	266	30	3
241	266	30	1
243	266	30	1
247	266	30	2
249	266	30	2
176	267	30	1
183	267	30	1
191	267	30	1
202	267	30	1
209	267	30	1
219	267	30	1
228	267	30	1
235	267	30	1
236	267	30	1
237	267	30	1
238	267	30	1
245	267	30	2
246	267	30	2
172	268	30	1
188	268	30	2
189	268	30	1
191	268	30	1
195	268	30	1
196	268	30	1
205	268	30	1
206	268	30	2
207	268	30	1
213	268	30	1
214	268	30	1
216	268	30	1
223	268	30	2
226	268	30	1
228	268	30	2
231	268	30	2
241	268	30	1
245	268	30	2
246	268	30	3
247	268	30	1
248	268	30	1
249	268	30	1
250	268	30	3
178	269	30	2
180	269	30	1
191	269	30	1
193	269	30	1
194	269	30	1
197	269	30	1
198	269	30	1
199	269	30	2
211	269	30	1
213	269	30	2
215	269	30	1
216	269	30	1
219	269	30	1
222	269	30	2
232	269	30	2
235	269	30	2
239	269	30	1
242	269	30	1
243	269	30	1
247	269	30	1
250	269	30	1
252	269	30	1
181	270	30	1
184	270	30	2
186	270	30	1
187	270	30	1
198	270	30	4
200	270	30	2
201	270	30	1
214	270	30	1
215	270	30	1
217	270	30	1
223	270	30	1
227	270	30	1
231	270	30	1
232	270	30	1
233	270	30	1
244	270	30	1
245	270	30	1
183	271	30	1
185	271	30	1
187	271	30	1
198	271	30	1
201	271	30	1
204	271	30	1
206	271	30	1
208	271	30	1
233	271	30	2
234	271	30	2
239	271	30	1
244	271	30	1
185	272	30	2
197	272	30	4
206	272	30	1
207	272	30	1
216	272	30	1
223	272	30	1
227	272	30	2
233	272	30	2
240	272	30	1
244	272	30	3
250	272	30	1
183	273	30	1
204	273	30	2
210	273	30	2
214	273	30	1
227	273	30	1
231	273	30	2
232	273	30	1
233	273	30	1
235	273	30	1
239	273	30	2
240	273	30	1
241	273	30	2
246	273	30	1
177	274	30	1
180	274	30	2
181	274	30	1
182	274	30	1
183	274	30	1
185	274	30	2
203	274	30	1
211	274	30	1
229	274	30	1
233	274	30	1
234	274	30	1
236	274	30	1
238	274	30	1
241	274	30	2
244	274	30	2
247	274	30	1
175	275	30	1
179	275	30	2
180	275	30	1
182	275	30	1
203	275	30	1
212	275	30	1
215	275	30	1
233	275	30	2
235	275	30	1
237	275	30	2
239	275	30	1
242	275	30	1
244	275	30	1
250	275	30	1
179	276	30	1
186	276	30	1
207	276	30	1
233	276	30	3
235	276	30	1
236	276	30	2
240	276	30	1
246	276	30	1
248	276	30	1
250	276	30	4
253	276	30	3
180	277	30	1
205	277	30	1
232	277	30	1
235	277	30	1
237	277	30	1
238	277	30	1
245	277	30	2
249	277	30	1
250	277	30	2
251	277	30	1
201	278	30	1
203	278	30	1
204	278	30	1
205	278	30	1
206	278	30	1
208	278	30	1
236	278	30	2
237	278	30	2
239	278	30	1
249	278	30	1
250	278	30	1
206	279	30	1
207	279	30	1
219	279	30	1
234	279	30	1
236	279	30	2
243	279	30	1
248	279	30	1
249	279	30	1
250	279	30	1
251	279	30	1
252	279	30	2
175	280	30	1
183	280	30	1
206	280	30	2
219	280	30	2
