x	y	z	SUMOylation of chromatin organization proteins
203	278	27	1
206	278	27	2
208	278	27	1
209	278	27	1
210	278	27	1
211	278	27	1
214	278	27	1
219	278	27	2
225	278	27	1
227	278	27	3
229	278	27	1
232	278	27	1
234	278	27	2
235	278	27	2
238	278	27	3
239	278	27	2
240	278	27	1
244	278	27	1
249	278	27	1
251	278	27	1
201	279	27	1
207	279	27	1
220	279	27	1
230	279	27	1
232	279	27	1
235	279	27	1
236	279	27	3
237	279	27	1
239	279	27	2
240	279	27	2
242	279	27	1
243	279	27	1
244	279	27	3
247	279	27	2
248	279	27	1
249	279	27	1
251	279	27	1
252	279	27	1
257	279	27	3
204	280	27	1
205	280	27	1
206	280	27	1
207	280	27	1
208	280	27	1
210	280	27	1
238	280	27	1
239	280	27	1
241	280	27	1
242	280	27	1
245	280	27	1
247	280	27	3
249	280	27	1
251	280	27	1
256	280	27	1
206	281	27	2
207	281	27	1
209	281	27	1
214	281	27	3
215	281	27	1
218	281	27	1
222	281	27	1
230	281	27	1
234	281	27	2
238	281	27	1
245	281	27	1
249	281	27	2
252	281	27	1
256	281	27	2
257	281	27	2
205	282	27	1
209	282	27	1
210	282	27	1
212	282	27	1
214	282	27	1
215	282	27	2
216	282	27	1
217	282	27	3
227	282	27	1
229	282	27	2
231	282	27	1
233	282	27	1
235	282	27	1
237	282	27	1
239	282	27	1
241	282	27	2
243	282	27	1
246	282	27	1
247	282	27	1
250	282	27	1
252	282	27	3
253	282	27	1
254	282	27	1
206	283	27	2
209	283	27	1
210	283	27	1
215	283	27	1
216	283	27	1
221	283	27	1
227	283	27	1
231	283	27	1
232	283	27	1
234	283	27	2
236	283	27	2
239	283	27	1
240	283	27	1
241	283	27	2
243	283	27	1
244	283	27	1
247	283	27	1
251	283	27	1
253	283	27	1
206	284	27	1
208	284	27	3
210	284	27	1
235	284	27	2
236	284	27	1
238	284	27	1
241	284	27	1
243	284	27	1
250	284	27	4
253	284	27	1
256	284	27	1
209	285	27	4
211	285	27	2
213	285	27	1
215	285	27	1
223	285	27	1
224	285	27	1
228	285	27	1
236	285	27	1
237	285	27	1
238	285	27	1
239	285	27	1
240	285	27	1
241	285	27	1
242	285	27	1
245	285	27	2
246	285	27	1
247	285	27	1
250	285	27	1
253	285	27	1
212	286	27	1
219	286	27	1
226	286	27	3
233	286	27	1
234	286	27	1
236	286	27	2
239	286	27	1
240	286	27	1
241	286	27	1
246	286	27	2
247	286	27	1
249	286	27	1
255	286	27	1
258	286	27	1
207	287	27	2
210	287	27	1
219	287	27	1
221	287	27	1
222	287	27	2
227	287	27	2
232	287	27	3
234	287	27	1
236	287	27	1
239	287	27	1
240	287	27	3
241	287	27	2
242	287	27	1
246	287	27	2
247	287	27	1
248	287	27	1
249	287	27	1
251	287	27	1
252	287	27	2
253	287	27	2
255	287	27	4
204	288	27	1
211	288	27	1
222	288	27	2
224	288	27	2
225	288	27	3
231	288	27	3
232	288	27	1
235	288	27	1
238	288	27	1
240	288	27	4
243	288	27	2
245	288	27	2
246	288	27	1
249	288	27	1
203	289	27	2
209	289	27	1
210	289	27	1
219	289	27	1
222	289	27	2
225	289	27	2
226	289	27	2
227	289	27	1
230	289	27	2
232	289	27	1
235	289	27	3
237	289	27	2
240	289	27	1
243	289	27	2
251	289	27	2
252	289	27	1
253	289	27	1
254	289	27	2
214	290	27	2
219	290	27	1
221	290	27	1
222	290	27	1
225	290	27	1
226	290	27	1
227	290	27	3
228	290	27	1
230	290	27	1
231	290	27	2
235	290	27	3
236	290	27	2
240	290	27	2
241	290	27	1
243	290	27	1
246	290	27	1
247	290	27	1
249	290	27	1
250	290	27	1
251	290	27	1
210	291	27	1
211	291	27	1
213	291	27	2
222	291	27	1
224	291	27	1
233	291	27	2
235	291	27	1
237	291	27	1
241	291	27	2
249	291	27	2
251	291	27	2
212	292	27	1
213	292	27	1
219	292	27	1
223	292	27	2
230	292	27	1
237	292	27	1
239	292	27	1
241	292	27	1
246	292	27	3
247	292	27	2
248	292	27	1
249	292	27	2
252	292	27	1
253	292	27	2
211	293	27	1
219	293	27	3
220	293	27	2
224	293	27	4
226	293	27	2
229	293	27	2
239	293	27	1
242	293	27	1
244	293	27	1
248	293	27	2
250	293	27	1
251	293	27	2
254	293	27	1
211	294	27	1
213	294	27	2
217	294	27	1
219	294	27	1
220	294	27	3
231	294	27	2
235	294	27	1
236	294	27	1
237	294	27	2
238	294	27	1
244	294	27	1
245	294	27	1
250	294	27	2
251	294	27	1
252	294	27	1
254	294	27	1
257	294	27	1
211	295	27	1
220	295	27	1
221	295	27	1
222	295	27	1
223	295	27	2
226	295	27	1
243	295	27	1
246	295	27	2
247	295	27	1
248	295	27	1
249	295	27	2
251	295	27	1
255	295	27	1
220	296	27	1
221	296	27	2
236	296	27	2
241	296	27	2
244	296	27	1
246	296	27	2
247	296	27	1
249	296	27	1
252	296	27	2
217	297	27	1
221	297	27	3
225	297	27	2
236	297	27	2
238	297	27	1
239	297	27	1
240	297	27	1
245	297	27	1
248	297	27	1
226	298	27	3
235	298	27	2
236	298	27	2
237	298	27	1
239	298	27	1
241	298	27	2
244	298	27	1
248	298	27	1
215	299	27	1
223	299	27	1
236	299	27	1
237	299	27	1
240	299	27	2
246	299	27	3
249	299	27	1
252	299	27	1
228	300	27	1
231	300	27	1
235	300	27	1
236	300	27	2
240	300	27	2
242	300	27	1
247	300	27	3
248	300	27	3
224	301	27	3
235	301	27	1
238	301	27	1
240	301	27	1
243	301	27	1
245	301	27	1
247	301	27	1
236	302	27	1
237	302	27	1
238	302	27	1
244	302	27	3
235	304	27	1
237	304	27	2
238	304	27	1
235	305	27	1
237	305	27	2
230	262	28	1
231	264	28	1
232	264	28	1
234	265	28	1
234	266	28	2
236	267	28	1
237	268	28	1
236	269	28	2
237	269	28	1
238	269	28	1
235	270	28	1
236	271	28	1
232	272	28	1
233	272	28	2
250	272	28	1
211	273	28	1
235	273	28	1
234	274	28	1
235	274	28	1
235	275	28	1
238	276	28	1
237	277	28	2
238	277	28	1
210	279	28	1
235	280	28	1
239	280	28	1
210	281	28	1
250	281	28	1
252	281	28	1
235	282	28	2
246	282	28	1
249	282	28	1
251	282	28	1
238	283	28	1
249	283	28	1
254	283	28	1
248	284	28	1
238	285	28	1
240	285	28	4
244	285	28	1
237	286	28	3
246	286	28	1
249	286	28	1
240	287	28	1
245	287	28	1
248	287	28	1
251	287	28	1
242	288	28	1
227	289	28	1
231	289	28	1
243	289	28	1
245	289	28	2
246	289	28	1
248	289	28	1
249	289	28	1
242	290	28	1
245	290	28	1
237	291	28	1
239	291	28	3
240	291	28	1
245	291	28	3
247	291	28	1
248	291	28	1
250	291	28	1
239	292	28	1
240	292	28	1
241	292	28	2
245	292	28	1
247	292	28	1
248	292	28	1
250	292	28	1
248	293	28	1
249	293	28	1
250	293	28	2
241	294	28	1
245	294	28	1
249	294	28	1
250	294	28	1
251	294	28	1
240	295	28	1
241	295	28	1
242	295	28	1
245	295	28	1
248	295	28	2
240	296	28	1
239	297	28	1
245	297	28	1
225	300	28	1
236	300	28	1
240	300	28	1
229	255	29	1
235	256	29	1
235	257	29	2
181	258	29	1
190	258	29	2
228	258	29	1
233	258	29	1
234	258	29	1
235	258	29	1
237	258	29	2
181	260	29	1
227	261	29	3
229	261	29	2
220	262	29	1
221	262	29	1
248	262	29	3
232	263	29	1
234	263	29	1
245	263	29	1
248	263	29	1
215	264	29	1
216	264	29	1
229	264	29	2
231	264	29	2
232	264	29	1
237	264	29	2
245	264	29	1
234	265	29	2
239	265	29	3
195	266	29	1
197	266	29	1
226	266	29	3
232	266	29	2
250	266	29	1
192	267	29	1
193	267	29	1
194	267	29	3
196	267	29	1
197	267	29	2
230	267	29	2
241	267	29	2
249	267	29	2
194	268	29	1
217	268	29	1
226	268	29	1
236	268	29	4
237	268	29	2
244	268	29	1
250	268	29	1
180	269	29	1
196	269	29	2
240	269	29	2
249	269	29	1
175	270	29	2
200	270	29	1
234	270	29	2
237	270	29	2
238	270	29	1
173	271	29	2
203	271	29	2
215	271	29	1
233	271	29	1
234	271	29	2
235	271	29	2
237	271	29	1
249	271	29	3
211	272	29	1
214	272	29	1
224	272	29	1
232	272	29	2
239	272	29	1
245	272	29	1
207	273	29	1
211	273	29	2
212	273	29	1
225	273	29	1
238	273	29	1
249	273	29	1
250	273	29	1
180	274	29	1
206	274	29	1
213	274	29	1
233	274	29	2
234	274	29	1
236	274	29	1
238	274	29	1
239	274	29	1
247	274	29	1
206	275	29	1
241	275	29	1
242	275	29	1
245	275	29	1
205	276	29	1
206	276	29	1
208	276	29	1
236	276	29	2
246	276	29	1
248	276	29	1
232	277	29	1
236	277	29	1
238	277	29	1
240	277	29	1
247	277	29	1
250	277	29	2
251	277	29	1
204	278	29	1
235	278	29	1
238	278	29	1
244	278	29	1
247	278	29	1
250	278	29	2
206	279	29	3
234	279	29	1
236	279	29	2
245	279	29	1
246	279	29	1
248	279	29	3
249	279	29	1
237	280	29	2
238	280	29	1
241	280	29	1
249	280	29	3
251	280	29	2
256	280	29	1
208	281	29	1
232	281	29	1
237	281	29	1
246	281	29	1
247	281	29	3
248	281	29	1
249	281	29	1
212	282	29	2
241	282	29	1
242	282	29	1
251	282	29	1
254	282	29	1
209	283	29	1
215	283	29	2
231	283	29	1
234	283	29	1
237	283	29	1
244	283	29	2
247	283	29	2
251	283	29	1
211	284	29	1
222	284	29	2
235	284	29	1
236	284	29	2
240	284	29	1
241	284	29	1
242	284	29	2
243	284	29	3
250	284	29	1
255	284	29	1
256	284	29	1
219	285	29	1
227	285	29	3
233	285	29	2
234	285	29	2
238	285	29	1
239	285	29	1
241	285	29	2
242	285	29	2
243	285	29	1
247	285	29	1
250	285	29	1
253	285	29	1
254	285	29	1
211	286	29	2
232	286	29	1
234	286	29	1
235	286	29	1
236	286	29	1
241	286	29	1
242	286	29	1
243	286	29	1
247	286	29	2
248	286	29	1
249	286	29	1
252	286	29	3
226	287	29	1
228	287	29	1
233	287	29	1
234	287	29	1
236	287	29	1
238	287	29	1
240	287	29	1
244	287	29	1
245	287	29	1
247	287	29	1
249	287	29	2
226	288	29	1
228	288	29	2
233	288	29	1
245	288	29	1
246	288	29	1
249	288	29	2
224	289	29	1
225	289	29	1
234	289	29	2
237	289	29	1
240	289	29	2
246	289	29	1
247	289	29	1
250	289	29	1
254	289	29	1
224	290	29	1
226	290	29	1
228	290	29	1
230	290	29	1
237	290	29	1
242	290	29	1
247	290	29	1
222	291	29	1
224	291	29	1
225	291	29	3
239	291	29	2
245	291	29	2
247	291	29	1
248	291	29	3
225	292	29	1
239	292	29	1
241	292	29	1
242	292	29	1
245	292	29	1
248	292	29	1
250	292	29	1
257	292	29	2
222	293	29	1
223	293	29	2
224	293	29	1
225	293	29	1
227	293	29	1
237	293	29	1
239	293	29	2
242	293	29	1
246	293	29	2
247	293	29	2
252	293	29	5
253	293	29	1
240	294	29	4
242	294	29	2
243	294	29	2
244	294	29	2
245	294	29	2
246	294	29	2
248	294	29	1
249	294	29	1
251	294	29	2
223	295	29	1
244	295	29	2
247	295	29	1
219	296	29	1
222	296	29	2
223	296	29	2
239	296	29	1
246	296	29	2
249	296	29	1
252	296	29	2
255	296	29	3
240	297	29	1
248	297	29	3
215	298	29	1
221	298	29	1
238	298	29	1
239	298	29	2
242	298	29	1
247	298	29	1
249	298	29	1
221	299	29	1
222	299	29	2
239	299	29	1
240	299	29	1
252	299	29	1
221	300	29	2
227	300	29	1
236	300	29	1
237	300	29	2
239	300	29	1
240	300	29	3
247	300	29	2
223	301	29	2
225	301	29	1
227	301	29	1
236	301	29	1
238	301	29	1
224	302	29	1
250	302	29	2
225	251	30	1
228	251	30	1
233	252	30	1
232	253	30	2
237	253	30	1
231	254	30	1
238	254	30	1
191	255	30	2
227	255	30	1
229	255	30	1
230	255	30	1
236	255	30	1
237	255	30	1
229	256	30	1
230	256	30	1
232	256	30	1
233	256	30	1
235	256	30	1
236	256	30	1
181	257	30	2
190	257	30	1
209	257	30	1
215	257	30	1
227	257	30	1
229	257	30	1
230	257	30	2
175	258	30	1
176	258	30	1
186	258	30	1
215	258	30	2
226	258	30	1
227	258	30	2
236	258	30	2
237	258	30	2
238	258	30	2
175	259	30	2
189	259	30	1
195	259	30	3
209	259	30	1
210	259	30	2
214	259	30	1
218	259	30	1
220	259	30	1
222	259	30	2
226	259	30	1
230	259	30	2
234	259	30	2
235	259	30	1
237	259	30	1
238	259	30	1
239	259	30	1
241	259	30	1
184	260	30	1
186	260	30	1
190	260	30	1
206	260	30	1
212	260	30	3
216	260	30	1
217	260	30	1
226	260	30	2
235	260	30	1
236	260	30	1
237	260	30	1
238	260	30	1
239	260	30	2
240	260	30	1
245	260	30	1
194	261	30	2
198	261	30	1
199	261	30	1
208	261	30	1
211	261	30	2
212	261	30	1
217	261	30	1
218	261	30	1
219	261	30	2
225	261	30	1
229	261	30	1
232	261	30	1
244	261	30	1
249	261	30	1
186	262	30	1
187	262	30	2
194	262	30	1
220	262	30	1
221	262	30	1
222	262	30	1
223	262	30	2
226	262	30	2
230	262	30	1
246	262	30	1
248	262	30	1
249	262	30	1
251	262	30	1
179	263	30	1
189	263	30	2
193	263	30	1
215	263	30	1
216	263	30	1
218	263	30	1
219	263	30	1
222	263	30	1
224	263	30	1
226	263	30	1
228	263	30	1
230	263	30	1
232	263	30	2
234	263	30	1
247	263	30	1
178	264	30	2
186	264	30	1
195	264	30	2
211	264	30	1
222	264	30	1
228	264	30	2
229	264	30	1
230	264	30	1
231	264	30	1
238	264	30	1
239	264	30	1
245	264	30	2
246	264	30	1
249	264	30	1
193	265	30	1
196	265	30	2
197	265	30	1
205	265	30	1
208	265	30	3
210	265	30	2
213	265	30	2
214	265	30	1
217	265	30	1
219	265	30	1
224	265	30	1
228	265	30	1
229	265	30	1
232	265	30	1
236	265	30	1
238	265	30	1
244	265	30	1
246	265	30	1
248	265	30	1
188	266	30	1
195	266	30	1
214	266	30	1
219	266	30	4
226	266	30	1
228	266	30	2
232	266	30	1
233	266	30	2
238	266	30	1
239.5	266.5	30.5	2
240	266	30	1
241	266	30	1
249	266	30	1
176	267	30	1
191	267	30	1
196	267	30	1
198	267	30	1
199	267	30	2
225	267	30	2
231	267	30	1
236	267	30	1
238	267	30	1
239	267	30	2
241	267	30	1
244	267	30	1
245	267	30	1
247	267	30	1
248	267	30	1
249	267	30	2
182	268	30	5
189	268	30	2
190	268	30	1
191	268	30	1
194	268	30	1
195	268	30	2
207	268	30	1
211	268	30	3
213	268	30	1
217	268	30	1
223	268	30	1
231	268	30	1
235	268	30	1
237	268	30	2
239	268	30	1
241	268	30	1
246	268	30	1
247	268	30	2
248	268	30	1
249	268	30	1
178	269	30	2
180	269	30	2
193	269	30	2
194	269	30	2
196	269	30	1
199	269	30	1
211	269	30	1
213	269	30	1
216	269	30	1
232	269	30	1
236	269	30	1
240	269	30	1
247	269	30	1
252	269	30	1
178	270	30	1
179	270	30	1
181	270	30	1
184	270	30	3
186	270	30	1
187	270	30	3
194	270	30	2
196	270	30	1
198	270	30	1
200	270	30	2
201	270	30	1
214	270	30	1
215	270	30	2
223	270	30	1
230	270	30	1
231	270	30	1
232	270	30	2
233	270	30	1
234	270	30	1
238	270	30	2
244	270	30	2
249	270	30	1
250	270	30	1
175	271	30	1
187	271	30	1
193	271	30	2
194	271	30	1
198	271	30	1
199	271	30	1
200	271	30	1
201	271	30	1
206	271	30	1
208	271	30	1
216	271	30	1
225	271	30	1
229	271	30	1
232	271	30	2
239	271	30	1
249	271	30	1
185	272	30	2
197	272	30	1
206	272	30	1
224	272	30	2
235	272	30	1
236	272	30	2
240	272	30	1
245	272	30	1
247	272	30	1
250	272	30	2
181	273	30	1
182	273	30	1
183	273	30	1
203	273	30	1
204	273	30	1
206	273	30	2
208	273	30	1
210	273	30	1
213	273	30	2
232	273	30	3
233	273	30	1
234	273	30	1
236	273	30	1
240	273	30	1
246	273	30	3
177	274	30	1
181	274	30	3
183	274	30	2
185	274	30	2
203	274	30	1
208	274	30	2
209	274	30	1
212	274	30	1
229	274	30	1
233	274	30	2
236	274	30	1
238	274	30	2
241	274	30	1
244	274	30	1
247	274	30	1
179	275	30	1
180	275	30	1
182	275	30	1
183	275	30	1
185	275	30	1
212	275	30	3
235	275	30	2
237	275	30	2
238	275	30	1
240	275	30	3
250	275	30	1
179	276	30	1
205	276	30	2
207	276	30	1
235	276	30	2
236	276	30	1
238	276	30	2
240	276	30	1
241	276	30	1
174	277	30	1
237	277	30	1
243	277	30	2
245	277	30	2
247	277	30	1
250	277	30	1
251	277	30	1
201	278	30	1
204	278	30	1
235	278	30	1
236	278	30	1
239	278	30	1
246	278	30	1
247	278	30	2
248	278	30	1
206	279	30	1
207	279	30	2
219	279	30	1
234	279	30	1
238	279	30	2
240	279	30	1
244	279	30	1
246	279	30	1
247	279	30	2
248	279	30	1
250	279	30	1
254	279	30	1
175	280	30	1
183	280	30	1
206	280	30	1
219	280	30	1
226	280	30	1
232	280	30	2
233	280	30	2
235	280	30	2
236	280	30	1
237	280	30	1
239	280	30	1
244	280	30	2
245	280	30	1
246	280	30	2
247	280	30	2
248	280	30	1
249	280	30	1
251	280	30	3
173	281	30	1
175	281	30	1
214	281	30	1
217	281	30	1
218	281	30	2
224	281	30	1
233	281	30	1
234	281	30	3
237	281	30	1
239	281	30	1
242	281	30	2
243	281	30	2
244	281	30	1
247	281	30	1
249	281	30	1
251	281	30	1
172	282	30	1
177	282	30	1
179	282	30	1
187	282	30	3
215	282	30	1
220	282	30	1
221	282	30	2
229	282	30	1
232	282	30	1
234	282	30	1
236	282	30	3
237	282	30	2
240	282	30	3
246	282	30	2
248	282	30	2
250	282	30	1
253	282	30	1
254	282	30	2
202	283	30	1
220	283	30	1
232	283	30	1
234	283	30	1
238	283	30	2
240	283	30	2
241	283	30	3
242	283	30	1
244	283	30	1
251	283	30	2
252	283	30	1
254	283	30	1
177	284	30	2
225	284	30	1
230	284	30	1
231	284	30	1
233	284	30	1
240	284	30	1
241.666666666667	284.666666666667	31	1
242	284	30	2
243	284	30	1
252	284	30	1
254	284	30	1
211	285	30	1
224	285	30	1
225	285	30	1
226	285	30	1
229	285	30	1
233	285	30	1
237	285	30	1
242	285	30	2
246	285	30	1
248	285	30	1
251	285	30	2
254	285	30	1
255	285	30	1
256	285	30	3
219	286	30	1
222	286	30	1
225	286	30	5
226	286	30	1
228	286	30	1
229	286	30	3
230	286	30	1
235	286	30	1
243	286	30	1
244	286	30	2
250	286	30	2
251	286	30	1
255	286	30	1
219	287	30	1
220	287	30	1
224	287	30	1
228	287	30	1
