x	y	z	Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)
247	292	26	1
251	292	26	1
252	292	26	1
236	293	26	1
239	293	26	1
245	293	26	1
247	293	26	1
239	294	26	1
241	294	26	1
242	294	26	2
243	294	26	1
237	295	26	1
244	297	26	1
239	298	26	1
240	298	26	1
239	299	26	1
227	301	26	1
182	255	27	1
184	256	27	1
181	257	27	1
183	259	27	1
226	259	27	1
183	260	27	1
228	260	27	1
234	260	27	1
240	260	27	1
177	261	27	1
183	261	27	2
184	261	27	1
186	261	27	1
187	261	27	1
227	261	27	1
228	261	27	1
230	261	27	1
232	261	27	1
233	262	27	1
236	262	27	1
238	262	27	1
178	263	27	1
183	263	27	1
220	263	27	2
229	263	27	1
233	263	27	1
234	263	27	1
238	263	27	1
180	264	27	1
186	264	27	1
209	264	27	1
225	264	27	1
226	264	27	1
237	264	27	1
238	264	27	1
212	265	27	1
215	265	27	1
232	265	27	1
234	265	27	1
236	265	27	1
237	265	27	1
180	266	27	1
227	266	27	1
228	266	27	1
234	266	27	1
237	266	27	2
239	266	27	1
231	267	27	1
233	267	27	2
235	267	27	1
241	267	27	1
213	268	27	1
219	268	27	1
222	268	27	1
227	268	27	1
234	268	27	1
241	268	27	1
178	269	27	1
201	269	27	1
213	269	27	2
214	269	27	1
218	269	27	1
229	269	27	1
232	269	27	1
234	269	27	1
236	269	27	1
238	269	27	1
242	269	27	2
243	269	27	1
252	269	27	1
179	270	27	1
181	270	27	1
207	270	27	1
217	270	27	2
232	270	27	1
233	270	27	1
237	270	27	1
238	270	27	2
239	270	27	1
243	270	27	1
250	270	27	1
177	271	27	1
182	271	27	1
206	271	27	1
207	271	27	1
208	271	27	2
215	271	27	1
225	271	27	1
235	271	27	1
237	271	27	2
243	271	27	1
249	271	27	1
250	271	27	1
217	272	27	2
222	272	27	1
223	272	27	1
225	272	27	1
234	272	27	1
241	272	27	1
250	272	27	1
251	272	27	1
183	273	27	1
207	273	27	2
211	273	27	1
214	273	27	1
223	273	27	2
237	273	27	1
238	273	27	2
239	273	27	1
241	273	27	1
246	273	27	1
249	273	27	1
182	274	27	1
209	274	27	1
214	274	27	2
221	274	27	1
227	274	27	2
232	274	27	1
235	274	27	2
243	274	27	1
247	274	27	1
185	275	27	1
211	275	27	2
212	275	27	1
216	275	27	1
237	275	27	1
239	275	27	1
240	275	27	1
250	275	27	1
252	275	27	1
210	276	27	1
213	276	27	1
214	276	27	1
215	276	27	1
234	276	27	1
239	276	27	1
244	276	27	1
204	277	27	1
208	277	27	2
210	277	27	1
235	277	27	1
237	277	27	1
238	277	27	1
243	277	27	1
244	277	27	1
248	277	27	1
252	277	27	1
204	278	27	2
208	278	27	1
224	278	27	1
230	278	27	1
233	278	27	1
235	278	27	1
240	278	27	2
249	278	27	1
201	279	27	1
208	279	27	1
232	279	27	1
239	279	27	3
241	279	27	1
248	279	27	1
252	279	27	1
257	279	27	1
205	280	27	1
214	280	27	1
234	280	27	2
235	280	27	1
236	280	27	1
238	280	27	1
240	280	27	1
242	280	27	1
243	280	27	1
251	280	27	1
206	281	27	2
207	281	27	1
209	281	27	1
230	281	27	1
231	281	27	2
235	281	27	2
238	281	27	1
244	281	27	1
249	281	27	1
212	282	27	1
215	282	27	1
216	282	27	1
227	282	27	1
229	282	27	1
233	282	27	2
235	282	27	1
237	282	27	1
244	282	27	1
245	282	27	1
247	282	27	1
248	282	27	1
249	282	27	2
209	283	27	1
232	283	27	1
234	283	27	1
235	283	27	2
236	283	27	1
238	283	27	1
243	283	27	1
247	283	27	1
254	283	27	1
208	284	27	2
209	284	27	2
214	284	27	2
230	284	27	1
232	284	27	1
236	284	27	2
240	284	27	1
249	284	27	1
251	284	27	1
253	284	27	1
255	284	27	1
206	285	27	1
234	285	27	1
235	285	27	1
239	285	27	1
250	285	27	2
256	285	27	1
206	286	27	1
207	286	27	1
218	286	27	1
224	286	27	2
240	286	27	1
231	287	27	1
233	287	27	1
237	287	27	1
241	287	27	1
248	287	27	1
250	287	27	1
251	287	27	1
252	287	27	1
253	287	27	1
204	288	27	1
207	288	27	2
231	288	27	1
241	288	27	1
243	288	27	1
245	288	27	2
253	288	27	1
226	289	27	1
228	289	27	1
232	289	27	1
234	289	27	1
243	289	27	1
248	289	27	1
249	289	27	1
256	289	27	2
207	290	27	2
214	290	27	1
222	290	27	1
224	290	27	1
226	290	27	1
230	290	27	1
234	290	27	1
235	290	27	1
239	290	27	1
246	290	27	2
249	290	27	1
210	291	27	1
221	291	27	1
224	291	27	1
235	291	27	1
240	291	27	1
241	291	27	1
251	291	27	2
213	292	27	1
223	292	27	1
225	292	27	2
235	292	27	1
244	292	27	1
246	292	27	1
248	292	27	1
253	292	27	1
217	293	27	1
219	293	27	1
221	293	27	1
225	293	27	1
226	293	27	2
238	293	27	1
239	293	27	1
243	293	27	1
249	293	27	1
250	293	27	1
211	294	27	1
217	294	27	1
219	294	27	1
225	294	27	1
226	294	27	1
231	294	27	1
235	294	27	1
244	294	27	1
257	294	27	2
220	295	27	1
244	295	27	1
246	295	27	1
248	295	27	1
252	295	27	3
240	296	27	1
245	296	27	1
249	296	27	1
252	296	27	1
255	296	27	1
225	297	27	1
238	297	27	1
243	297	27	1
245	297	27	1
249	297	27	2
226	298	27	1
235	298	27	1
239	298	27	1
237	299	27	1
245	299	27	2
247	299	27	1
226	300	27	1
236	300	27	1
239	300	27	1
241	300	27	1
244	300	27	1
248	300	27	1
239	301	27	1
241	301	27	1
243	301	27	1
250	301	27	2
238	302	27	1
236	304	27	1
235	305	27	1
237	305	27	2
235	268	28	1
236	268	28	1
235	270	28	1
236	270	28	1
238	270	28	2
250	270	28	1
237	271	28	1
234	272	28	1
250	272	28	1
232	274	28	1
233	276	28	1
234	276	28	1
235	276	28	1
236	277	28	1
238	277	28	2
235	280	28	1
251	280	28	3
208	281	28	1
235	282	28	1
247	282	28	1
238	283	28	1
254	283	28	1
244	285	28	1
237	286	28	1
247	286	28	1
244	287	28	2
242	288	28	1
243	289	28	1
248	289	28	1
242	290	28	1
245	290	28	1
237	291	28	1
249	291	28	1
222	292	28	1
239	292	28	1
240	292	28	1
241	292	28	1
245	292	28	1
250	292	28	1
249	293	28	1
249	294	28	1
240	295	28	1
242	295	28	1
245	295	28	1
245	297	28	1
240	299	28	1
229	255	29	2
235	256	29	1
233	258	29	1
234	258	29	1
235	258	29	1
237	258	29	1
182	259	29	1
188	259	29	1
182	260	29	1
234	260	29	1
227	261	29	1
221	262	29	1
227	262	29	1
222	263	29	1
245	263	29	1
178	264	29	1
215	264	29	1
216	264	29	1
229	264	29	1
230	264	29	1
232	264	29	1
232	265	29	1
249	265	29	3
178	266	29	1
230	266	29	1
193	267	29	1
214	267	29	2
235	267	29	1
249	267	29	1
226	268	29	1
231	268	29	1
236	268	29	1
180	269	29	1
234	269	29	1
249	269	29	1
196	270	29	1
200	270	29	1
204	271	29	1
215	271	29	1
237	271	29	1
251	271	29	1
211	272	29	1
224	272	29	1
234	272	29	1
241	272	29	1
251	272	29	2
211	273	29	1
236	273	29	1
238	273	29	1
232	274	29	1
233	274	29	1
234	274	29	1
235	274	29	2
215	275	29	1
231	275	29	1
232	275	29	1
235	275	29	1
237	275	29	1
241	275	29	1
208	276	29	1
232	276	29	2
240	276	29	1
246	276	29	1
250	276	29	1
205	277	29	2
237	277	29	1
239	277	29	1
240	277	29	1
250	277	29	1
208	278	29	1
236	278	29	1
250	278	29	1
206	279	29	3
245	279	29	1
254	279	29	1
256	279	29	1
236	280	29	1
237	280	29	1
245	280	29	1
247	280	29	1
254	280	29	1
208	281	29	1
232	281	29	1
237	281	29	2
238	281	29	1
243	281	29	1
246	281	29	1
206	282	29	1
235	282	29	1
242	282	29	1
245	282	29	1
250	282	29	1
215	283	29	1
232	283	29	1
236	283	29	2
238	283	29	1
245	283	29	1
250	283	29	1
251	283	29	1
220	284	29	1
222	284	29	2
234	284	29	1
235	284	29	1
237	284	29	1
238	284	29	1
241	284	29	1
242	284	29	1
245	284	29	3
226	285	29	1
234	285	29	1
236	285	29	1
241	285	29	2
242	285	29	1
246	285	29	1
247	285	29	1
250	285	29	2
211	286	29	1
240	286	29	1
249	286	29	2
225	287	29	1
226	287	29	1
228	287	29	1
232	287	29	2
236	287	29	1
244	287	29	1
245	287	29	1
226	288	29	1
228	288	29	1
241	288	29	1
243	288	29	1
245	288	29	1
246	288	29	1
249	288	29	1
253	288	29	1
225	289	29	2
228	289	29	1
235	289	29	1
240	289	29	1
243	289	29	1
247	289	29	2
254	289	29	1
222	290	29	2
226	290	29	1
240	290	29	1
245	290	29	1
246	290	29	1
222	291	29	1
224	291	29	1
245	291	29	1
246	291	29	1
250	291	29	1
251	291	29	1
225	292	29	3
236	292	29	1
241	292	29	1
243	292	29	1
245	292	29	1
250	292	29	1
227	293	29	1
237	293	29	1
249	293	29	1
224	294	29	1
242	294	29	1
245	294	29	1
249	294	29	1
221	295	29	1
223	295	29	1
244	295	29	1
245	295	29	1
247	295	29	2
246	296	29	1
255	296	29	1
242	297	29	1
243	297	29	1
246	297	29	1
221	298	29	1
247	298	29	1
227	299	29	2
237	299	29	1
239	299	29	1
240	299	29	2
225	301	29	1
240	303	29	1
215	252	30	1
237	253	30	1
232	254	30	1
235	254	30	1
191	255	30	1
215	255	30	1
232	255	30	1
234	255	30	1
237	255	30	1
181	257	30	1
204	257	30	2
229	257	30	1
230	257	30	1
237	257	30	1
181	258	30	1
186	258	30	3
229	258	30	1
237	258	30	1
183	259	30	2
189	259	30	1
219	259	30	1
228	259	30	1
230	259	30	1
235	259	30	1
184	260	30	2
186	260	30	1
206	260	30	1
216	260	30	1
219	260	30	1
227	260	30	1
187	261	30	1
209	261	30	1
231	261	30	1
232	261	30	1
239	261	30	1
179	262	30	1
186	262	30	1
194	262	30	2
206	262	30	1
209	262	30	2
216	262	30	1
245	262	30	1
189	263	30	1
211	263	30	1
215	263	30	1
242	263	30	1
247	263	30	1
249	263	30	1
186	264	30	1
195	264	30	1
227	264	30	1
228	264	30	1
239	264	30	1
246	264	30	2
183	265	30	1
192	265	30	1
196	265	30	2
200	265	30	1
212	265	30	1
224	265	30	1
232	265	30	2
242	265	30	1
244	265	30	1
248	265	30	1
195	266	30	1
226	266	30	1
228	266	30	2
232	266	30	1
241	266	30	1
249	266	30	1
191	267	30	1
192	267	30	1
193	267	30	1
196	267	30	1
225	267	30	1
235	267	30	1
236	267	30	1
248	267	30	2
249	267	30	2
172	268	30	2
190	268	30	1
194	268	30	1
207	268	30	1
213	268	30	1
216	268	30	1
217	268	30	1
228	268	30	2
238	268	30	1
244	268	30	1
246	268	30	3
178	269	30	1
180	269	30	1
191	269	30	1
193	269	30	1
194	269	30	1
196	269	30	1
211	269	30	1
236	269	30	1
239	269	30	1
245	269	30	1
249	269	30	1
183	270	30	1
187	270	30	1
200	270	30	1
216	270	30	2
223	270	30	1
235	270	30	2
250	270	30	1
175	271	30	1
176	271	30	1
193	271	30	1
200	271	30	1
201	271	30	1
204	271	30	2
184	272	30	1
185	272	30	2
206	272	30	1
223	272	30	1
224	272	30	1
238	272	30	1
242	272	30	1
244	272	30	1
181	273	30	1
203	273	30	1
204	273	30	1
239	273	30	1
240	273	30	2
177	274	30	1
183	274	30	2
185	274	30	1
211	274	30	1
214	274	30	1
233	274	30	1
236	274	30	1
241	274	30	1
247	274	30	1
180	275	30	1
182	275	30	1
212	275	30	1
213	275	30	1
179	276	30	1
207	276	30	2
232	276	30	1
236	276	30	1
239	276	30	1
239	277	30	2
247	277	30	1
249	277	30	1
175	278	30	1
203	278	30	1
208	278	30	1
226	278	30	1
236	278	30	1
238	278	30	1
248	278	30	1
253	278	30	1
237	279	30	1
240	279	30	1
245	279	30	1
246	279	30	1
250	279	30	1
226	280	30	1
242	280	30	1
245	280	30	1
246	280	30	2
248	280	30	1
254	280	30	2
181	281	30	1
224	281	30	1
233	281	30	1
240	281	30	1
247	281	30	2
249	281	30	1
251	281	30	2
177	282	30	1
179	282	30	2
232	282	30	1
235	282	30	1
236	282	30	1
237	282	30	1
240	282	30	2
248	282	30	1
252	282	30	1
202	283	30	2
215	283	30	1
221	283	30	1
223	283	30	1
238	283	30	1
249	283	30	1
252	283	30	1
257	283	30	1
177	284	30	1
219	284	30	1
220	284	30	1
231	284	30	2
233	284	30	1
250	284	30	2
253	284	30	1
224	285	30	1
232	285	30	1
233	285	30	1
234	285	30	1
248	285	30	1
206	286	30	2
219	286	30	1
222	286	30	1
228	286	30	1
230	286	30	1
231	286	30	1
239	286	30	1
250	286	30	1
255	286	30	1
257	286	30	1
226	287	30	1
228	287	30	1
238.5	287.5	30.5	2
243	287	30	1
254	287	30	1
199	288	30	1
223	288	30	1
226	288	30	1
237	288	30	1
241	288	30	1
243	288	30	1
244	288	30	1
246	288	30	1
252	288	30	1
184	289	30	1
223	289	30	1
224	289	30	1
231	289	30	1
233	289	30	2
246	289	30	2
250	289	30	1
252	289	30	1
222	290	30	1
242	290	30	2
244	290	30	1
246	290	30	1
197	291	30	1
223	291	30	2
234	291	30	1
250	291	30	2
198	292	30	1
203	292	30	2
226	292	30	1
229	292	30	1
230	292	30	1
247	292	30	1
201	293	30	1
219	293	30	2
234	293	30	1
236	293	30	1
238	293	30	1
246	293	30	1
253	293	30	1
189	294	30	1
221	294	30	1
226	294	30	1
227	294	30	1
236	294	30	1
238	294	30	1
241	294	30	1
258	294	30	1
218	295	30	1
221	295	30	1
222	295	30	1
228	295	30	1
247	295	30	1
256	295	30	1
186	296	30	1
222	296	30	2
235	296	30	1
237	296	30	1
243	296	30	1
220	297	30	1
223	297	30	1
232	297	30	1
240	297	30	1
222	298	30	1
225	298	30	1
227	298	30	2
229	298	30	1
232	298	30	1
235	298	30	1
239	298	30	1
242	298	30	1
227	299	30	2
241	299	30	1
242	299	30	1
223	300	30	1
227	300	30	1
240	300	30	1
246	300	30	2
249	300	30	1
226	301	30	1
235	301	30	1
236	301	30	1
237	301	30	1
240	301	30	1
243	301	30	1
221	302	30	1
223	302	30	1
236	302	30	1
237	302	30	1
238	302	30	1
217	303	30	1
237	303	30	1
239	303	30	1
240	303	30	1
244	303	30	1
237	304	30	1
240	305	30	2
236	306	30	1
216	252	31	1
226	252	31	1
235	252	31	1
193	253	31	1
217	253	31	1
233	253	31	1
227	254	31	2
229	254	31	3
232	254	31	1
235	254	31	2
230	255	31	1
233	255	31	1
215	256	31	2
177	257	31	1
215	257	31	1
218	257	31	1
230	257	31	1
236	257	31	1
237	257	31	1
227	258	31	1
233	258	31	1
237	258	31	1
209	259	31	1
218	259	31	1
219	259	31	1
229	259	31	1
230	259	31	1
237	259	31	1
239	259	31	1
186	260	31	1
190	260	31	1
218	260	31	1
227	260	31	1
228	260	31	1
237	260	31	2
238	260	31	1
241	260	31	1
181	261	31	1
187	261	31	1
193	261	31	1
208	261	31	1
210	261	31	1
224	261	31	1
228	261	31	1
234	261	31	1
237	261	31	2
239	261	31	1
245	261	31	1
249	261	31	1
195	262	31	1
207	262	31	1
216	262	31	1
217	262	31	1
218	262	31	1
221	262	31	1
223	262	31	2
230	262	31	2
233	262	31	1
186	263	31	1
194	263	31	1
211	263	31	1
215	263	31	1
216	263	31	1
219	263	31	1
222	263	31	2
227	263	31	1
232	263	31	1
233	263	31	1
234	263	31	1
238	263	31	1
245	263	31	2
184	264	31	1
189	264	31	1
190	264	31	2
209	264	31	1
217	264	31	1
222	264	31	1
223	264	31	1
234	264	31	1
238	264	31	1
240	264	31	1
185	265	31	1
200	265	31	1
213	265	31	1
223	265	31	1
233	265	31	1
235	265	31	1
239	265	31	1
240	265	31	1
246	265	31	1
197	266	31	2
221	266	31	1
241	266	31	1
248	266	31	1
176	267	31	1
211	267	31	1
219	267	31	1
223	267	31	1
224	267	31	1
232	267	31	2
245	267	31	1
247	267	31	1
184	268	31	1
195	268	31	3
205	268	31	2
215	268	31	2
218	268	31	1
222	268	31	1
232	268	31	1
240	268	31	1
245	268	31	1
247	268	31	1
183	269	31	1
199	269	31	1
201	269	31	1
204	269	31	1
213	269	31	1
215	269	31	1
235	269	31	1
239	269	31	1
181	270	31	1
207	270	31	1
217	270	31	1
231	270	31	1
239	270	31	1
240	270	31	1
244	270	31	1
171	271	31	1
178	271	31	1
185	271	31	1
199	271	31	1
209	271	31	1
210	271	31	1
214	271	31	2
215	271	31	1
216	271	31	1
217	271	31	2
233	271	31	1
249	271	31	1
176	272	31	1
199	272	31	1
203	272	31	1
204	272	31	1
206	272	31	1
208	272	31	1
211	272	31	1
212	272	31	2
214	272	31	1
215	272	31	1
226	272	31	1
227	272	31	1
234	272	31	1
235	272	31	1
251	272	31	1
235	273	31	1
237	273	31	1
248	273	31	1
249	273	31	1
250	273	31	1
180	274	31	1
185	274	31	2
204	274	31	1
205	274	31	1
210	274	31	1
211	274	31	1
213	274	31	1
216	274	31	1
229	274	31	1
244	274	31	1
182	275	31	1
235	275	31	2
237	275	31	1
244	275	31	2
181	276	31	1
241	276	31	1
243	276	31	1
253	276	31	1
174	277	31	1
204	277	31	1
205	277	31	1
235	277	31	1
237	277	31	1
241	277	31	1
247	277	31	1
174	278	31	2
203	278	31	1
204	278	31	1
237	278	31	1
238	278	31	1
240	278	31	1
242	278	31	1
244	278	31	1
219	279	31	1
238	279	31	1
247	279	31	1
249	279	31	1
175	280	31	1
181	280	31	3
217	280	31	1
237	280	31	1
241	280	31	1
246	280	31	1
247	280	31	2
251	280	31	2
181	281	31	1
220	281	31	1
228	281	31	1
234	281	31	1
241	281	31	1
244	281	31	1
254	281	31	1
180	282	31	1
223	282	31	1
225	282	31	1
238	282	31	1
240	282	31	3
246	282	31	1
249	282	31	1
184	283	31	2
209	283	31	1
223	283	31	1
224	283	31	2
231	283	31	1
232	283	31	1
234	283	31	1
239	283	31	1
241	283	31	1
242	283	31	1
243	283	31	1
244	283	31	1
246	283	31	1
252	283	31	1
175	284	31	1
182	284	31	1
206	284	31	1
209	284	31	1
212	284	31	1
235	284	31	1
243	284	31	1
248	284	31	1
249	284	31	1
250	284	31	1
256	284	31	2
229	285	31	1
231	285	31	1
238	285.5	31.5	1
251	285	31	1
253	285	31	1
218	286	31	1
237	286	31	1
244	286	31	2
252	286	31	1
190	287	31	1
219	287	31	1
224	287	31	1
225	287	31	1
230	287	31	1
244	287	31	1
253	287	31	1
186	288	31	1
225	288	31	1
234	288	31	1
244	288	31	1
245	288	31	1
253	288	31	1
200	289	31	1
222	289	31	1
225	289	31	1
233	289	31	1
240	289	31	1
245	289	31	1
247	289	31	1
221	290	31	1
231	290	31	3
232	290	31	1
234	290	31	2
239	290	31	1
240	290	31	1
248	290	31	2
198	291	31	1
227	291	31	1
235	291	31	1
240	291	31	1
197	292	31	1
198	292	31	1
236	292	31	1
252	292	31	1
253	292	31	1
254	292	31	1
198	293	31	1
222	293	31	1
223	293	31	1
233	293	31	1
235	293	31	2
236	293	31	1
246	293	31	1
248	293	31	2
225	294	31	1
230	294	31	1
243	294	31	2
244	294	31	1
250	294	31	1
223	295	31	1
225	295	31	1
232	295	31	1
233	295	31	1
235	295	31	1
241	295	31	1
243	295	31	1
224	296	31	1
235	296	31	1
245	296	31	1
250	296	31	1
254	296	31	1
223	297	31	1
224	297	31	2
225	297	31	1
230	297	31	2
231	297	31	1
242	297	31	2
248	297	31	1
223	298	31	1
224	298	31	1
239	298	31	1
242	298	31	2
248	298	31	2
252	298	31	1
253	298	31	1
232	299	31	2
246	299	31	1
223	300	31	1
225	300	31	1
235	300	31	1
236	300	31	1
237	300	31	1
238	300	31	1
241	300	31	1
246	300	31	1
249	300	31	1
216	301	31	2
225	301	31	1
230	301	31	1
236	301	31	3
243	301	31	2
229	302	31	1
239	302	31	1
231	303	31	1
232	303	31	1
234	303	31	1
242	303	31	1
243	303	31	1
245	303	31	1
246	303	31	2
247	303	31	1
244	304	31	1
235	305	31	1
236	305	31	1
231	250	32	1
227	251	32	1
226	252	32	1
231	252	32	2
235	252	32	1
215	253	32	1
218	253	32	1
230	254	32	2
238	254	32	2
219	255	32	1
230	255	32	1
236	255	32	1
237	255	32	1
177	256	32	1
219	256	32	1
229	256	32	1
242	256	32	1
192	257	32	1
195	257	32	1
203	257	32	1
210	257	32	1
192	258	32	1
193	258	32	2
213	258	32	1
220	258	32	1
228	258	32	2
239	258	32	1
188	259	32	1
191	259	32	1
201	259	32	1
211	259	32	1
215	259	32	1
220	259	32	1
222	259	32	1
228	259	32	2
240	259	32	1
245	259	32	1
247	259	32	2
192	260	32	1
203	260	32	1
238	260	32	1
245	260	32	1
195	261	32	1
219	261	32	1
224	261	32	3
229	261	32	1
239	261	32	1
245	261	32	1
186	262	32	1
196	262	32	1
203	262	32	1
210	262	32	1
228	262	32	1
235	262	32	1
238	262	32	1
242	262	32	1
244	262	32	2
249	262	32	1
250	262	32	2
189	263	32	3
198	263	32	2
211	263	32	1
216	263	32	2
218	263	32	1
220	263	32	1
221	263	32	1
222	263	32	2
230	263	32	1
231	263	32	1
233	263	32	1
242	263	32	1
245	263	32	1
246	263	32	1
250	263	32	1
190	264	32	1
191	264	32	2
192	264	32	1
199	264	32	1
210	264	32	2
215	264	32	1
223	264	32	1
230	264	32	1
232	264	32	1
239	264	32	2
246	264	32	1
184	265	32	1
187	265	32	1
195	265	32	2
198	265	32	1
204	265	32	1
211	265	32	1
212	265	32	2
213	265	32	1
217	265	32	2
218	265	32	2
224	265	32	1
229	265	32	1
230	265	32	1
231	265	32	1
234	265	32	1
243	265	32	1
244	265	32	1
248	265	32	1
251	265	32	1
186	266	32	1
203	266	32	1
216	266	32	1
220	266	32	1
224	266	32	1
228	266	32	1
236	266	32	1
238	266	32	1
243	266	32	1
249	266	32	1
182	267	32	1
184	267	32	1
188	267	32	1
214	267	32	2
216	267	32	1
225	267	32	2
228	267	32	1
238	267	32	1
239	267	32	1
245.5	267.5	32.5	1
188	268	32	1
189	268	32	1
193	268	32	1
211	268	32	1
224	268	32	1
231	268	32	1
243	268	32	1
247	268	32	1
180	269	32	1
186	269	32	2
191	269	32	1
193	269	32	1
209	269	32	1
214	269	32	2
215	269	32	1
228	269	32	1
241	269	32	1
245	269	32	1
246	269	32	1
172	270	32	1
173	270	32	1
187	270	32	1
195	270	32	1
196	270	32	1
200	270	32	1
206	270	32	1
212	270	32	1
214	270	32	1
227	270	32	1
232	270	32	1
241	270	32	1
247	270	32	1
248	270	32	1
177	271	32	1
182	271	32	1
183	271	32	1
186	271	32	1
202	271	32	2
208	271	32	1
215	271	32	1
216	271	32	1
228	271	32	2
233	271	32	1
234	271	32	1
240	271	32	1
243	271	32	1
247	271	32	1
249	271	32	1
175	272	32	1
177	272	32	1
181	272	32	1
183	272	32	1
186	272	32	1
200	272	32	2
201	272	32	2
209	272	32	1
225	272	32	2
238	272	32	1
245	272	32	1
246	272	32	1
250	272	32	1
252	272	32	1
201	273	32	1
204	273	32	1
206	273	32	1
213	273	32	1
229	273	32	1
236	273	32	2
245	273	32	1
254	273	32	2
173	274	32	2
185	274	32	1
203	274	32	1
207	274	32	2
208	274	32	1
235	274	32	1
236	274	32	1
237	274	32	1
243	274	32	1
246	274	32	1
250	274	32	1
252	274	32	3
202	275	32	2
203	275	32	1
208	275	32	1
211	275	32	1
216	275	32	1
236	275	32	1
240	275	32	1
250	275	32	1
252	275	32	1
184	276	32	1
233	276	32	1
236	276	32	1
242	276	32	1
174	277	32	1
175	277	32	1
204	277	32	1
205	277	32	1
224	277	32	2
239	277	32	1
240	277	32	1
242	277	32	1
249	277	32	1
250	277	32	1
184	278	32	1
224	278	32	1
234	278	32	1
235	278	32	1
238	278	32	1
245	278	32	1
205	279	32	1
219	279	32	1
236	279	32	2
239	279	32	1
241	279	32	1
242	279	32	1
180	280	32	1
189	280	32	2
205	280	32	1
208	280	32	1
220	280	32	2
229	280	32	1
242	280	32	2
173	281	32	1
179	281	32	1
210	281	32	1
232	281	32	1
233	281	32	2
236	281	32	1
243	281	32	1
254	281	32	1
174	282	32	1
178	282	32	1
179	282	32	1
204	282	32	1
223	282	32	2
224	282	32	1
229	282	32	1
231	282	32	1
246	282	32	1
247	282	32	1
249	282	32	1
175	283	32	1
226	283	32	1
236	283	32	1
240	283	32	1
241	283	32	1
251	283	32	1
177	284	32	1
186	284	32	2
209	284	32	1
227	284	32	1
232	284	32	2
234	284	32	1
236	284	32	1
244	284	32	1
247	284	32	1
251	284	32	1
257	284	32	1
179	285	32	1
206	285	32	1
220	285	32	1
221	285	32	1
230	285	32	1
232	285	32	1
235	285	32	1
241	285	32	1
253	285	32	1
254	285	32	2
177	286	32	2
178	286	32	1
180	286	32	1
207	286	32	1
218	286	32	1
